iteration,temp,current_cost,best_cost
100,0.95,1.03688,0.995224
200,0.857375,1.08115,0.995224
300,0.773781,1.1124,0.995224
400,0.698337,1.11544,0.995224
500,0.630249,1.22516,0.995224
600,0.5688,1.24425,0.995224
700,0.513342,1.34143,0.995224
800,0.463291,1.3679,0.995224
900,0.41812,1.38093,0.995224
1000,0.377354,1.37832,0.995224
1100,0.340562,1.3449,0.995224
1200,0.307357,1.34794,0.995224
1300,0.27739,1.35054,0.995224
1400,0.250344,1.33752,0.995224
1500,0.225936,1.41044,0.995224
1600,0.203907,1.42866,0.995224
1700,0.184026,1.43127,0.995224
1800,0.166083,1.38483,0.995224
1900,0.14989,1.34316,0.995224
2000,0.135276,1.28587,0.995224
2100,0.122087,1.30193,0.995224
2200,0.110183,1.39047,0.995224
2300,0.0994403,1.40913,0.995224
2400,0.0897448,1.39871,0.995224
2500,0.0809947,1.38048,0.995224
2600,0.0730977,1.3909,0.995224
2700,0.0659707,1.39871,0.995224
2800,0.0595386,1.42736,0.995224
2900,0.0537335,1.42519,0.995224
3000,0.0484945,1.41998,0.995224
3100,0.0437663,1.40696,0.995224
3200,0.0394991,1.42519,0.995224
3300,0.0356479,1.42779,0.995224
3400,0.0321723,1.36789,0.995224
3500,0.0290355,1.37571,0.995224
3600,0.0262045,1.33144,0.995224
3700,0.0236496,1.29627,0.995224
3800,0.0213437,1.29279,0.995224
3900,0.0192627,1.27717,0.995224
4000,0.0173846,1.30582,0.995224
4100,0.0156896,1.30364,0.995224
4200,0.0141599,1.25981,0.995224
4300,0.0127793,1.24939,0.995224
4400,0.0115333,1.26847,0.995224
4500,0.0104088,1.30233,0.995224
4600,0.00939395,1.28713,0.995224
4700,0.00847804,1.28886,0.995224
4800,0.00765143,1.26282,0.995224
4900,0.00690541,1.27324,0.995224
5000,0.00623214,1.27584,0.995224
5100,0.0056245,1.28626,0.995224
5200,0.00507611,1.27845,0.995224
