temperature,avg_cost,max_cost,min_cost
1,1.00172,1.00607,0.993052
0.95,1.00376,1.00694,0.998693
0.9025,1.00852,1.0282,1.00173
0.857375,1.02315,1.03081,1.02039
0.814506,1.0162,1.02299,1.01084
0.773781,1.01829,1.04209,1.01344
0.735092,1.03336,1.04252,1.02212
0.698337,1.04462,1.05858,1.02993
0.66342,1.04908,1.06118,1.04121
0.630249,1.05698,1.06769,1.03861
0.598737,1.06264,1.06769,1.05467
0.5688,1.06539,1.0781,1.059
0.54036,1.09963,1.1336,1.0564
0.513342,1.15798,1.17006,1.12839
0.487675,1.1711,1.18569,1.16485
0.463291,1.21945,1.23252,1.17527
0.440127,1.24835,1.25335,1.24554
0.41812,1.23814,1.25335,1.22774
0.397214,1.21858,1.22774,1.21037
0.377354,1.24832,1.25157,1.23812
0.358486,1.24949,1.25461,1.24419
0.340562,1.24661,1.25808,1.23638
0.323534,1.27127,1.27934,1.25808
0.307357,1.26299,1.27153,1.2559
0.291989,1.27378,1.28238,1.26111
0.27739,1.27894,1.28238,1.27457
0.26352,1.30191,1.32144,1.28498
0.250344,1.34384,1.3579,1.32665
0.237827,1.35363,1.3579,1.35009
0.225936,1.36951,1.37873,1.35269
0.214639,1.37123,1.37352,1.36571
0.203907,1.35493,1.37092,1.33967
0.193711,1.33998,1.34748,1.33186
0.184026,1.34779,1.35009,1.33967
0.174825,1.34739,1.35312,1.34531
0.166083,1.36015,1.37396,1.34791
0.157779,1.34755,1.37135,1.3401
0.14989,1.33422,1.3401,1.32969
0.142396,1.33531,1.3375,1.32708
0.135276,1.3201,1.33229,1.29323
0.128512,1.29953,1.30885,1.28541
0.122087,1.29448,1.30625,1.28021
0.115982,1.30279,1.31189,1.28845
0.110183,1.30201,1.30972,1.29149
0.104674,1.30706,1.31232,1.3019
0.0994403,1.31206,1.31492,1.30451
0.0944682,1.29242,1.30711,1.27586
0.0897448,1.26289,1.27847,1.24722
0.0852576,1.25378,1.25763,1.24722
0.0809947,1.25831,1.26284,1.25763
0.076945,1.25909,1.26545,1.25503
0.0730977,1.26513,1.27326,1.26284
0.0694428,1.26909,1.28367,1.25503
0.0659707,1.26576,1.27065,1.25503
0.0626722,1.27679,1.2815,1.27065
0.0595386,1.27364,1.2789,1.26848
0.0565616,1.26718,1.27369,1.26067
0.0537335,1.2715,1.2789,1.26848
0.0510469,1.26968,1.27369,1.26588
0.0484945,1.27885,1.29973,1.27109
0.0460698,1.28984,1.29452,1.28411
0.0437663,1.28156,1.28932,1.26327
0.041578,1.28182,1.28411,1.2789
0.0394991,1.27057,1.27152,1.26848
0.0375241,1.29256,1.29756,1.27152
0.0356479,1.28362,1.29756,1.27282
0.0338655,1.28589,1.28844,1.28063
0.0321723,1.29276,1.29886,1.28584
0.0305636,1.3003,1.30971,1.29148
0.0290355,1.30939,1.31491,1.3045
0.0275837,1.31231,1.31231,1.31231
0.0262045,1.28606,1.31231,1.27628
0.0248943,1.28915,1.29972,1.27628
0.0236496,1.30389,1.30753,1.29972
0.0224671,1.31092,1.31274,1.30753
0.0213437,1.32026,1.3288,1.31014
0.0202765,1.33026,1.3314,1.32359
0.0192627,1.33205,1.34442,1.3288
0.0182996,1.34533,1.35007,1.33184
0.0173846,1.33845,1.34746,1.33184
0.0165154,1.3172,1.33184,1.30319
0.0156896,1.30548,1.311,1.30059
0.0149051,1.31434,1.31621,1.311
0.0141599,1.30376,1.31361,1.29798
0.0134519,1.28652,1.2919,1.27888
0.0127793,1.28679,1.28929,1.28148
0.0121403,1.28773,1.28929,1.28409
0.0115333,1.28195,1.28669,1.28148
0.0109566,1.29573,1.30492,1.27931
0.0104088,1.27775,1.27974,1.27671
0.00988836,1.28881,1.2958,1.27974
0.00939395,1.28976,1.2958,1.28278
0.00892425,1.28679,1.29059,1.28538
0.00847804,1.2907,1.2932,1.28799
0.00805413,1.30356,1.30882,1.2932
0.00765143,1.30695,1.31142,1.30101
0.00726886,1.30424,1.30882,1.30101
0.00690541,1.29658,1.30101,1.28799
0.00656014,1.3032,1.31663,1.2932
0.00623214,1.3159,1.31924,1.31142
0.00592053,1.30722,1.31403,1.30101
0.0056245,1.30332,1.30665,1.30144
0.00534328,1.30488,1.30925,1.29884
0.00507611,1.2979,1.30404,1.29102
