temperature,avg_cost,max_cost,min_cost
1,1.02971,1.08545,1.00043
0.95,1.07816,1.09587,1.07243
0.9025,1.09807,1.19911,1.07937
0.857375,1.2051,1.21213,1.1965
0.814506,1.23111,1.24642,1.20952
0.773781,1.23731,1.24642,1.23209
0.735092,1.24752,1.26117,1.23512
0.698337,1.27939,1.30023,1.25075
0.66342,1.28632,1.30023,1.27939
0.630249,1.28887,1.2937,1.282
0.598737,1.2998,1.32235,1.28068
0.5688,1.32886,1.34839,1.32235
0.54036,1.32263,1.32799,1.31714
0.513342,1.34545,1.36748,1.32799
0.487675,1.34983,1.36488,1.33363
0.463291,1.35217,1.36748,1.32582
0.440127,1.32743,1.33623,1.318
0.41812,1.33795,1.35707,1.32842
0.397214,1.33759,1.35967,1.33102
0.377354,1.32191,1.33363,1.30498
0.358486,1.27512,1.30541,1.26895
0.340562,1.27061,1.27155,1.26895
0.323534,1.29158,1.29802,1.27155
0.307357,1.31349,1.32146,1.29282
0.291989,1.3125,1.32407,1.29542
0.27739,1.32157,1.33448,1.31105
0.26352,1.3336,1.3423,1.32407
0.250344,1.37948,1.38657,1.36313
0.237827,1.38703,1.40219,1.37875
0.225936,1.38948,1.4048,1.38136
0.214639,1.39677,1.39959,1.38917
0.203907,1.39688,1.4048,1.39177
0.193711,1.39245,1.4048,1.38136
0.184026,1.3773,1.39438,1.37355
0.174825,1.37401,1.37615,1.37094
0.166083,1.38396,1.39959,1.37355
0.157779,1.38058,1.4074,1.37615
0.14989,1.41136,1.41782,1.4074
0.142396,1.39985,1.41782,1.38657
0.135276,1.37927,1.39959,1.36834
0.128512,1.37151,1.38396,1.36834
0.122087,1.38245,1.38657,1.37875
0.115982,1.39058,1.39959,1.37615
0.110183,1.39886,1.40219,1.39698
0.104674,1.40402,1.41261,1.39438
0.0994403,1.40903,1.41564,1.39785
0.0944682,1.40623,1.41868,1.39264
0.0897448,1.44082,1.45774,1.41868
0.0852576,1.43884,1.44733,1.4317
0.0809947,1.43061,1.4317,1.42649
0.076945,1.41858,1.4317,1.41087
0.0730977,1.40993,1.42389,1.39785
0.0694428,1.40493,1.41087,1.40306
0.0659707,1.42264,1.4291,1.40826
0.0626722,1.41529,1.42389,1.39785
0.0595386,1.39873,1.40045,1.39003
0.0565616,1.41941,1.45774,1.40045
0.0537335,1.43074,1.43691,1.42301
0.0510469,1.44138,1.4547,1.42518
0.0484945,1.42403,1.42778,1.41997
0.0460698,1.42325,1.42778,1.41649
0.0437663,1.41404,1.4217,1.39305
0.041578,1.4081,1.41388,1.40607
0.0394991,1.42703,1.45859,1.40607
0.0375241,1.48067,1.48984,1.45859
0.0356479,1.439,1.47421,1.41171
0.0338655,1.41645,1.43254,1.40911
0.0321723,1.42406,1.42994,1.41432
0.0305636,1.41859,1.42734,1.40911
0.0290355,1.41442,1.41952,1.40911
0.0275837,1.41478,1.41692,1.41171
0.0262045,1.40281,1.41692,1.39348
0.0248943,1.39537,1.40433,1.38827
0.0236496,1.39042,1.39652,1.3861
0.0224671,1.39636,1.39912,1.39391
0.0213437,1.4072,1.41475,1.39652
0.0202765,1.4136,1.41996,1.40433
0.0192627,1.44694,1.46423,1.40433
0.0182996,1.46292,1.48246,1.45902
0.0173846,1.44126,1.46162,1.42256
0.0165154,1.41808,1.42256,1.41475
0.0156896,1.42827,1.43601,1.41475
0.0149051,1.42976,1.43384,1.42603
0.0141599,1.42546,1.42863,1.42082
0.0134519,1.40931,1.42603,1.39738
0.0127793,1.39275,1.39738,1.38957
0.0121403,1.39665,1.4052,1.38436
0.0115333,1.39155,1.39999,1.38436
0.0109566,1.40405,1.4078,1.39738
0.0104088,1.39947,1.4052,1.39478
0.00988836,1.37025,1.39738,1.36353
0.00939395,1.37551,1.38436,1.36353
0.00892425,1.37806,1.38436,1.36613
0.00847804,1.36525,1.36917,1.36136
0.00805413,1.35568,1.36136,1.35094
0.00765143,1.34047,1.35094,1.33532
0.00726886,1.35407,1.37177,1.34052
0.00690541,1.38016,1.38219,1.37177
0.00656014,1.38443,1.3874,1.37438
0.00623214,1.3875,1.39,1.3874
0.00592053,1.36782,1.39,1.36396
0.0056245,1.36271,1.36917,1.35875
0.00534328,1.36891,1.36917,1.36657
0.00507611,1.37188,1.37698,1.36657
