temperature,avg_cost,max_cost,min_cost
1,0.995882,1.00086,0.990448
0.95,1.00187,1.01953,0.993484
0.9025,1.08843,1.09239,1.08197
0.857375,1.10249,1.10801,1.08197
0.814506,1.11257,1.12407,1.10541
0.773781,1.11139,1.12711,1.10628
0.735092,1.1181,1.18521,1.11148
0.698337,1.17287,1.18521,1.16438
0.66342,1.15677,1.16438,1.15136
0.630249,1.16997,1.19085,1.15439
0.598737,1.17997,1.18304,1.17523
0.5688,1.18726,1.19129,1.18304
0.54036,1.19953,1.21776,1.18087
0.513342,1.23812,1.25161,1.21776
0.487675,1.24885,1.25161,1.2464
0.463291,1.24187,1.24901,1.23599
0.440127,1.2525,1.25682,1.2438
0.41812,1.28355,1.31496,1.25422
0.397214,1.31209,1.32277,1.30714
0.377354,1.31982,1.33405,1.31018
0.358486,1.32853,1.33145,1.31843
0.340562,1.32441,1.33145,1.31061
0.323534,1.31598,1.32103,1.31061
0.307357,1.32046,1.33665,1.31061
0.291989,1.32275,1.33665,1.29499
0.27739,1.29676,1.3028,1.27936
0.26352,1.28629,1.29238,1.27155
0.250344,1.28863,1.29499,1.28197
0.237827,1.30254,1.31061,1.29238
0.225936,1.31429,1.32579,1.29932
0.214639,1.32126,1.3284,1.29715
0.203907,1.3134,1.32579,1.30236
0.193711,1.32246,1.32579,1.30757
0.184026,1.31309,1.31798,1.30757
0.174825,1.31053,1.31798,1.30757
0.166083,1.30829,1.31277,1.30496
0.157779,1.29159,1.30236,1.27631
0.14989,1.29974,1.30495,1.29714
0.142396,1.30032,1.30495,1.29453
0.135276,1.29887,1.30799,1.28455
0.128512,1.30366,1.30799,1.28455
0.122087,1.32049,1.32882,1.30278
0.115982,1.33168,1.33446,1.32882
0.110183,1.33977,1.34748,1.33446
0.104674,1.3366,1.34748,1.30061
0.0994403,1.29868,1.30582,1.2954
0.0944682,1.29337,1.298,1.29019
0.0897448,1.2992,1.30582,1.2954
0.0852576,1.30373,1.30842,1.298
0.0809947,1.32821,1.33707,1.30582
0.076945,1.34457,1.35269,1.33446
0.0730977,1.36342,1.38394,1.34748
0.0694428,1.38451,1.38654,1.37613
0.0659707,1.37852,1.39479,1.37092
0.0626722,1.40969,1.42083,1.39479
0.0595386,1.40675,1.42126,1.39869
0.0565616,1.37796,1.40129,1.37004
0.0537335,1.37791,1.38307,1.37265
0.0510469,1.36379,1.38307,1.344
0.0484945,1.35697,1.36484,1.34661
0.0460698,1.34952,1.37004,1.3414
0.0437663,1.36926,1.37004,1.36744
0.041578,1.37744,1.38567,1.36744
0.0394991,1.39036,1.40129,1.37265
0.0375241,1.4021,1.40954,1.39652
0.0356479,1.42053,1.43298,1.40954
0.0338655,1.42811,1.43384,1.41561
0.0321723,1.40327,1.41561,1.39217
0.0305636,1.40744,1.41301,1.40259
0.0290355,1.42816,1.44165,1.41301
0.0275837,1.4541,1.46509,1.44426
0.0262045,1.46181,1.48072,1.45207
0.0248943,1.46957,1.48332,1.45728
0.0236496,1.47009,1.48592,1.46249
0.0224671,1.48657,1.49417,1.47811
0.0213437,1.48766,1.49417,1.47334
0.0202765,1.47917,1.48375,1.47334
0.0192627,1.4938,1.50241,1.48636
0.0182996,1.49669,1.50241,1.48939
0.0173846,1.48304,1.48939,1.47898
0.0165154,1.47976,1.48419,1.47637
0.0156896,1.48142,1.48679,1.47637
0.0149051,1.4659,1.48158,1.45554
0.0141599,1.46627,1.47116,1.46596
0.0134519,1.45012,1.47377,1.4321
0.0127793,1.4345,1.43731,1.4321
0.0121403,1.43992,1.44816,1.4321
0.0115333,1.45152,1.45901,1.44816
0.0109566,1.46047,1.46422,1.4564
0.0104088,1.44911,1.46682,1.43817
0.00988836,1.43765,1.44078,1.41734
0.00939395,1.41963,1.42515,1.40953
0.00892425,1.39638,1.42515,1.38132
0.00847804,1.36783,1.3735,1.36048
0.00805413,1.37095,1.3735,1.36829
0.00765143,1.37262,1.3735,1.36569
0.00726886,1.34449,1.36569,1.32142
0.00690541,1.32371,1.32446,1.32142
0.00656014,1.32347,1.32446,1.32185
0.00623214,1.31826,1.32446,1.31404
0.00592053,1.30711,1.31404,1.30362
0.0056245,1.29685,1.30362,1.2919
0.00534328,1.29494,1.29494,1.29494
0.00507611,1.2991,1.30578,1.29494
