iteration,temp,current_cost,best_cost
100,0.95,1.00216,0.99088
200,0.857375,1.07291,0.99088
300,0.773781,1.02212,0.99088
400,0.698337,1.08766,0.99088
500,0.630249,1.07419,0.99088
600,0.5688,1.14797,0.99088
700,0.513342,1.12323,0.99088
800,0.463291,1.11845,0.99088
900,0.41812,1.12756,0.99088
1000,0.377354,1.17527,0.99088
1100,0.340562,1.177,0.99088
1200,0.307357,1.19045,0.99088
1300,0.27739,1.24249,0.99088
1400,0.250344,1.23728,0.99088
1500,0.225936,1.27721,0.99088
1600,0.203907,1.30021,0.99088
1700,0.184026,1.27937,0.99088
1800,0.166083,1.2594,0.99088
1900,0.14989,1.30454,0.99088
2000,0.135276,1.31235,0.99088
2100,0.122087,1.29933,0.99088
2200,0.110183,1.29412,0.99088
2300,0.0994403,1.32016,0.99088
2400,0.0897448,1.35141,0.99088
2500,0.0809947,1.32624,0.99088
2600,0.0730977,1.32407,0.99088
2700,0.0659707,1.32362,0.99088
2800,0.0595386,1.3106,0.99088
2900,0.0537335,1.33837,0.99088
3000,0.0484945,1.3566,0.99088
3100,0.0437663,1.33316,0.99088
3200,0.0394991,1.34879,0.99088
3300,0.0356479,1.36181,0.99088
3400,0.0321723,1.32796,0.99088
3500,0.0290355,1.32275,0.99088
3600,0.0262045,1.25764,0.99088
3700,0.0236496,1.24549,0.99088
3800,0.0213437,1.3184,0.99088
3900,0.0192627,1.29757,0.99088
4000,0.0173846,1.30321,0.99088
4100,0.0156896,1.26154,0.99088
4200,0.0141599,1.22725,0.99088
4300,0.0127793,1.22289,0.99088
4400,0.0115333,1.22072,0.99088
4500,0.0104088,1.2472,0.99088
4600,0.00939395,1.22897,0.99088
4700,0.00847804,1.23504,0.99088
4800,0.00765143,1.21203,0.99088
4900,0.00690541,1.21247,0.99088
5000,0.00623214,1.20769,0.99088
5100,0.0056245,1.2129,0.99088
5200,0.00507611,1.21029,0.99088
