run,cost,latency,area,time_ms
1,1,247,480,3753.6
2,0.993052,249,455,3713.61
3,1,247,480,3756.46
4,0.990448,249,450,3631.15
5,0.99088,250,445,3728.7
6,0.99262,248,460,3655.21
7,0.995224,248,465,3720.46
8,1,247,480,3619.41
9,1,247,480,3627.23
10,0.99262,248,460,3665.25
