temperature,avg_cost,max_cost,min_cost
1,1.00713,1.01085,1
0.95,1.01434,1.01606,1.01085
0.9025,1.01674,1.02994,1.00304
0.857375,1.02921,1.03384,1.02734
0.814506,1.06221,1.11626,1.02864
0.773781,1.10709,1.10845,1.10063
0.735092,1.15326,1.18869,1.10584
0.698337,1.20218,1.2386,1.18348
0.66342,1.23272,1.2386,1.22558
0.630249,1.24261,1.24902,1.22298
0.598737,1.24345,1.25162,1.24121
0.5688,1.24376,1.25162,1.22819
0.54036,1.19287,1.22819,1.18131
0.513342,1.20381,1.22558,1.18912
0.487675,1.23552,1.24945,1.22558
0.463291,1.23529,1.24945,1.22601
0.440127,1.21612,1.23122,1.21039
0.41812,1.22195,1.23643,1.21039
0.397214,1.25772,1.28067,1.23643
0.377354,1.26572,1.27546,1.25723
0.358486,1.28489,1.28848,1.26505
0.340562,1.29815,1.32277,1.27807
0.323534,1.32709,1.32798,1.32277
0.307357,1.3324,1.33579,1.32798
0.291989,1.32949,1.33058,1.32537
0.27739,1.31881,1.32537,1.30454
0.26352,1.31982,1.33622,1.30497
0.250344,1.30325,1.3232,1.28674
0.237827,1.29997,1.30237,1.29716
0.225936,1.29107,1.29716,1.28674
0.214639,1.27638,1.28674,1.2607
0.203907,1.25466,1.26591,1.24508
0.193711,1.24607,1.25549,1.23726
0.184026,1.23835,1.2429,1.23726
0.174825,1.23048,1.2416,1.21556
0.166083,1.25292,1.26503,1.2416
0.157779,1.21657,1.25157,1.2047
0.14989,1.2331,1.23898,1.23074
0.142396,1.24554,1.25721,1.23638
0.135276,1.26061,1.27327,1.24679
0.128512,1.26983,1.27327,1.26806
0.122087,1.27634,1.28108,1.27066
0.115982,1.28426,1.29931,1.27848
0.110183,1.30171,1.30712,1.29931
0.104674,1.30802,1.31797,1.30278
0.0994403,1.32773,1.34184,1.3158
0.0944682,1.32945,1.34965,1.32101
0.0897448,1.34132,1.34445,1.33924
0.0852576,1.34294,1.34445,1.34184
0.0809947,1.31757,1.34705,1.30018
0.076945,1.30486,1.3184,1.29757
0.0730977,1.32346,1.33143,1.3184
0.0694428,1.33404,1.33967,1.32925
0.0659707,1.3204,1.33186,1.31623
0.0626722,1.32446,1.33967,1.31363
0.0595386,1.33429,1.3401,1.32665
0.0565616,1.33894,1.34096,1.3375
0.0537335,1.34048,1.3466,1.33487
0.0510469,1.32542,1.33574,1.32272
0.0484945,1.34647,1.36959,1.32272
0.0460698,1.35506,1.35917,1.34876
0.0437663,1.35579,1.36178,1.35397
0.041578,1.35647,1.36178,1.35397
0.0394991,1.34779,1.35397,1.34355
0.0375241,1.35008,1.37002,1.33617
0.0356479,1.36508,1.36742,1.36221
0.0338655,1.35091,1.37002,1.34659
0.0321723,1.36471,1.37002,1.34919
0.0305636,1.36768,1.37002,1.36742
0.0290355,1.36518,1.38044,1.357
0.0275837,1.37653,1.38044,1.36742
0.0262045,1.36763,1.38304,1.35961
0.0248943,1.39336,1.41169,1.38304
0.0236496,1.40278,1.4195,1.38825
0.0224671,1.39513,1.4169,1.38825
0.0213437,1.38778,1.39086,1.38304
0.0202765,1.37846,1.39086,1.37002
0.0192627,1.40959,1.42514,1.39346
0.0182996,1.43108,1.44077,1.42514
0.0173846,1.44467,1.44858,1.43816
0.0165154,1.39905,1.44598,1.36004
0.0156896,1.35186,1.36264,1.334
0.0149051,1.33089,1.33703,1.32662
0.0141599,1.32667,1.33183,1.3162
0.0134519,1.31988,1.32705,1.3162
0.0127793,1.33559,1.34788,1.32445
0.0121403,1.33601,1.34788,1.31967
0.0115333,1.31128,1.31967,1.30925
0.0109566,1.31175,1.31446,1.30665
0.0104088,1.31597,1.31707,1.31186
0.00988836,1.317,1.31793,1.31446
0.00939395,1.3178,1.32097,1.31576
0.00892425,1.30946,1.31836,1.30274
0.00847804,1.31227,1.31576,1.30795
0.00805413,1.31435,1.31576,1.31055
0.00765143,1.31437,1.31619,1.31055
0.00726886,1.31025,1.31359,1.30838
0.00690541,1.31072,1.31359,1.30577
0.00656014,1.31442,1.31619,1.31098
0.00623214,1.29942,1.31619,1.29536
0.00592053,1.28057,1.29796,1.27192
0.0056245,1.27057,1.27192,1.26932
0.00534328,1.26966,1.27452,1.26671
0.00507611,1.27193,1.28277,1.26975
