iteration,temp,current_cost,best_cost
100,0.95,1.01345,1
200,0.857375,1.03384,1
300,0.773781,1.10584,1
400,0.698337,1.2386,1
500,0.630249,1.24121,1
600,0.5688,1.22819,1
700,0.513342,1.22558,1
800,0.463291,1.22862,1
900,0.41812,1.23643,1
1000,0.377354,1.27286,1
1100,0.340562,1.32277,1
1200,0.307357,1.33058,1
1300,0.27739,1.30454,1
1400,0.250344,1.28935,1
1500,0.225936,1.28674,1
1600,0.203907,1.24508,1
1700,0.184026,1.2403,1
1800,0.166083,1.25157,1
1900,0.14989,1.23638,1
2000,0.135276,1.27066,1
2100,0.122087,1.27848,1
2200,0.110183,1.30712,1
2300,0.0994403,1.34184,1
2400,0.0897448,1.34184,1
2500,0.0809947,1.30538,1
2600,0.0730977,1.33143,1
2700,0.0659707,1.32404,1
2800,0.0595386,1.3401,1
2900,0.0537335,1.33574,1
3000,0.0484945,1.34876,1
3100,0.0437663,1.36178,1
3200,0.0394991,1.34398,1
3300,0.0356479,1.36742,1
3400,0.0321723,1.36742,1
3500,0.0290355,1.37784,1
3600,0.0262045,1.38304,1
3700,0.0236496,1.4169,1
3800,0.0213437,1.39086,1
3900,0.0192627,1.42514,1
4000,0.0173846,1.44598,1
4100,0.0156896,1.334,1
4200,0.0141599,1.3162,1
4300,0.0127793,1.34788,1
4400,0.0115333,1.30925,1
4500,0.0104088,1.31707,1
4600,0.00939395,1.31576,1
4700,0.00847804,1.31576,1
4800,0.00765143,1.31359,1
4900,0.00690541,1.31359,1
5000,0.00623214,1.29796,1
5100,0.0056245,1.27192,1
5200,0.00507611,1.27756,1
