iteration,temp,current_cost,best_cost
100,0.95,1.10801,1
200,0.857375,1.1002,1
300,0.773781,1.17481,1
400,0.698337,1.20388,1
500,0.630249,1.21951,1
600,0.5688,1.27506,1
700,0.513342,1.29589,1
800,0.463291,1.33279,1
900,0.41812,1.33799,1
1000,0.377354,1.32497,1
1100,0.340562,1.32757,1
1200,0.307357,1.35187,1
1300,0.27739,1.33885,1
1400,0.250344,1.34666,1
1500,0.225936,1.33928,1
1600,0.203907,1.34449,1
1700,0.184026,1.36272,1
1800,0.166083,1.34188,1
1900,0.14989,1.30585,1
2000,0.135276,1.32494,1
2100,0.122087,1.34881,1
2200,0.110183,1.34881,1
2300,0.0994403,1.32277,1
2400,0.0897448,1.31235,1
2500,0.0809947,1.29412,1
2600,0.0730977,1.31496,1
2700,0.0659707,1.31582,1
2800,0.0595386,1.3475,1
2900,0.0537335,1.35792,1
3000,0.0484945,1.3475,1
3100,0.0437663,1.30063,1
3200,0.0394991,1.29453,1
3300,0.0356479,1.3184,1
3400,0.0321723,1.30278,1
3500,0.0290355,1.34488,1
3600,0.0262045,1.33186,1
3700,0.0236496,1.30842,1
3800,0.0213437,1.28759,1
3900,0.0192627,1.28802,1
4000,0.0173846,1.27152,1
4100,0.0156896,1.23158,1
4200,0.0141599,1.23722,1
4300,0.0127793,1.23071,1
4400,0.0115333,1.23678,1
4500,0.0104088,1.25761,1
4600,0.00939395,1.25284,1
4700,0.00847804,1.24806,1
4800,0.00765143,1.22983,1
4900,0.00690541,1.21724,1
5000,0.00623214,1.20422,1
5100,0.0056245,1.20683,1
5200,0.00507611,1.22766,1
