iteration,temp,current_cost,best_cost
100,0.95,1.01953,0.990448
200,0.857375,1.10801,0.990448
300,0.773781,1.11148,0.990448
400,0.698337,1.16438,0.990448
500,0.630249,1.17523,0.990448
600,0.5688,1.18868,0.990448
700,0.513342,1.24901,0.990448
800,0.463291,1.2438,0.990448
900,0.41812,1.31235,0.990448
1000,0.377354,1.33405,0.990448
1100,0.340562,1.31843,0.990448
1200,0.307357,1.33665,0.990448
1300,0.27739,1.27936,0.990448
1400,0.250344,1.29238,0.990448
1500,0.225936,1.32579,0.990448
1600,0.203907,1.32059,0.990448
1700,0.184026,1.31538,0.990448
1800,0.166083,1.31017,0.990448
1900,0.14989,1.30235,0.990448
2000,0.135276,1.30799,0.990448
2100,0.122087,1.32882,0.990448
2200,0.110183,1.34488,0.990448
2300,0.0994403,1.298,0.990448
2400,0.0897448,1.30582,0.990448
2500,0.0809947,1.33446,0.990448
2600,0.0730977,1.37613,0.990448
2700,0.0659707,1.39479,0.990448
2800,0.0595386,1.40129,0.990448
2900,0.0537335,1.38307,0.990448
3000,0.0484945,1.36223,0.990448
3100,0.0437663,1.36744,0.990448
3200,0.0394991,1.40129,0.990448
3300,0.0356479,1.42342,0.990448
3400,0.0321723,1.4078,0.990448
3500,0.0290355,1.44165,0.990448
3600,0.0262045,1.48072,0.990448
3700,0.0236496,1.47811,0.990448
3800,0.0213437,1.47334,0.990448
3900,0.0192627,1.50241,0.990448
4000,0.0173846,1.47898,0.990448
4100,0.0156896,1.48158,0.990448
4200,0.0141599,1.46596,0.990448
4300,0.0127793,1.43471,0.990448
4400,0.0115333,1.45901,0.990448
4500,0.0104088,1.43817,0.990448
4600,0.00939395,1.42515,0.990448
4700,0.00847804,1.36829,0.990448
4800,0.00765143,1.36569,0.990448
4900,0.00690541,1.32185,0.990448
5000,0.00623214,1.31404,0.990448
5100,0.0056245,1.29494,0.990448
5200,0.00507611,1.30578,0.990448
