iteration,temp,current_cost,best_cost
100,0.95,1.02256,0.981191
200,0.857375,1.0434,0.981191
300,0.773781,1.15277,0.981191
400,0.698337,1.17563,0.981191
500,0.630249,1.29542,0.981191
600,0.5688,1.37239,0.981191
700,0.513342,1.32551,0.981191
800,0.463291,1.30582,0.981191
900,0.41812,1.30288,0.981191
1000,0.377354,1.36131,0.981191
1100,0.340562,1.37376,0.981191
1200,0.307357,1.35668,0.981191
1300,0.27739,1.36391,0.981191
1400,0.250344,1.34278,0.981191
1500,0.225936,1.40614,0.981191
1600,0.203907,1.4426,0.981191
1700,0.184026,1.54156,0.981191
1800,0.166083,1.56239,0.981191
1900,0.14989,1.48629,0.981191
2000,0.135276,1.429,0.981191
2100,0.122087,1.23629,0.981191
2200,0.110183,1.26754,0.981191
2300,0.0994403,1.29879,0.981191
2400,0.0897448,1.34567,0.981191
2500,0.0809947,1.34046,0.981191
2600,0.0730977,1.35088,0.981191
2700,0.0659707,1.39457,0.981191
2800,0.0595386,1.43826,0.981191
2900,0.0537335,1.39341,0.981191
3000,0.0484945,1.46633,0.981191
3100,0.0437663,1.4235,0.981191
3200,0.0394991,1.38183,0.981191
3300,0.0356479,1.38704,0.981191
3400,0.0321723,1.29011,0.981191
3500,0.0290355,1.2713,0.981191
3600,0.0262045,1.24526,0.981191
3700,0.0236496,1.24526,0.981191
3800,0.0213437,1.21805,0.981191
3900,0.0192627,1.22847,0.981191
4000,0.0173846,1.20764,0.981191
4100,0.0156896,1.20243,0.981191
4200,0.0141599,1.22847,0.981191
4300,0.0127793,1.22326,0.981191
4400,0.0115333,1.21487,0.981191
4500,0.0104088,1.21689,0.981191
4600,0.00939395,1.15439,0.981191
4700,0.00847804,1.15439,0.981191
4800,0.00765143,1.13038,0.981191
4900,0.00690541,1.10115,0.981191
5000,0.00623214,1.08553,0.981191
5100,0.0056245,1.07511,0.981191
5200,0.00507611,1.07395,0.981191
