run,cost,latency,area,time_ms
1,0.942266,378,170,3752.22
2,0.978007,249,455,3646.78
3,0.888748,367,140,3720.7
4,0.972799,249,450,3630.54
5,0.905533,365,160,3671.31
6,0.973241,365,225,3640.53
7,0.978871,252,450,3734.57
8,1,247,480,3625.24
9,0.996816,248,475,3640.68
10,0.981191,248,460,3632.31
