iteration,temp,current_cost,best_cost
100,0.95,1.02691,0.972799
200,0.857375,1.08243,0.972799
300,0.773781,1.08127,0.972799
400,0.698337,1.0575,0.972799
500,0.630249,1.07515,0.972799
600,0.5688,1.09801,0.972799
700,0.513342,1.17295,0.972799
800,0.463291,1.16253,0.972799
900,0.41812,1.29272,0.972799
1000,0.377354,1.32802,0.972799
1100,0.340562,1.29677,0.972799
1200,0.307357,1.32802,0.972799
1300,0.27739,1.20302,0.972799
1400,0.250344,1.22906,0.972799
1500,0.225936,1.26754,0.972799
1600,0.203907,1.25713,0.972799
1700,0.184026,1.26234,0.972799
1800,0.166083,1.25192,0.972799
1900,0.14989,1.21198,0.972799
2000,0.135276,1.20359,0.972799
2100,0.122087,1.20359,0.972799
2200,0.110183,1.22645,0.972799
2300,0.0994403,1.13472,0.972799
2400,0.0897448,1.17118,0.972799
2500,0.0809947,1.17118,0.972799
2600,0.0730977,1.3118,0.972799
2700,0.0659707,1.33987,0.972799
2800,0.0595386,1.29907,0.972799
2900,0.0537335,1.30428,0.972799
3000,0.0484945,1.28344,0.972799
3100,0.0437663,1.22094,0.972799
3200,0.0394991,1.22094,0.972799
3300,0.0356479,1.27678,0.972799
3400,0.0321723,1.22759,0.972799
3500,0.0290355,1.26086,0.972799
3600,0.0262045,1.25044,0.972799
3700,0.0236496,1.20878,0.972799
3800,0.0213437,1.23047,0.972799
3900,0.0192627,1.27619,0.972799
4000,0.0173846,1.24494,0.972799
4100,0.0156896,1.25015,0.972799
4200,0.0141599,1.22411,0.972799
4300,0.0127793,1.20327,0.972799
4400,0.0115333,1.21571,0.972799
4500,0.0104088,1.21051,0.972799
4600,0.00939395,1.21051,0.972799
4700,0.00847804,1.16565,0.972799
4800,0.00765143,1.1917,0.972799
4900,0.00690541,1.13122,0.972799
5000,0.00623214,1.1208,0.972799
5100,0.0056245,1.1156,0.972799
5200,0.00507611,1.13122,0.972799
