iteration,temp,current_cost,best_cost
100,0.95,1.05754,0.981191
200,0.857375,1.16171,0.981191
300,0.773781,1.25025,0.981191
400,0.698337,1.24154,0.981191
500,0.630249,1.28928,0.981191
600,0.5688,1.32979,0.981191
700,0.513342,1.2725,0.981191
800,0.463291,1.38187,0.981191
900,0.41812,1.31417,0.981191
1000,0.377354,1.32458,0.981191
1100,0.340562,1.36625,0.981191
1200,0.307357,1.27132,0.981191
1300,0.27739,1.2418,0.981191
1400,0.250344,1.25626,0.981191
1500,0.225936,1.201,0.981191
1600,0.203907,1.16135,0.981191
1700,0.184026,1.14341,0.981191
1800,0.166083,1.15903,0.981191
1900,0.14989,1.25046,0.981191
2000,0.135276,1.26088,0.981191
2100,0.122087,1.35347,0.981191
2200,0.110183,1.33987,0.981191
2300,0.0994403,1.32945,0.981191
2400,0.0897448,1.14716,0.981191
2500,0.0809947,1.13675,0.981191
2600,0.0730977,1.28258,0.981191
2700,0.0659707,1.30341,0.981191
2800,0.0595386,1.31904,0.981191
2900,0.0537335,1.37633,0.981191
3000,0.0484945,1.33669,0.981191
3100,0.0437663,1.28981,0.981191
3200,0.0394991,1.18044,0.981191
3300,0.0356479,1.11041,0.981191
3400,0.0321723,1.06556,0.981191
3500,0.0290355,1.05196,0.981191
3600,0.0262045,1.01029,0.981191
3700,0.0236496,1.02071,0.981191
3800,0.0213437,1.04675,0.981191
3900,0.0192627,1.03315,0.981191
4000,0.0173846,1.0236,0.981191
4100,0.0156896,0.997554,0.981191
4200,0.0141599,0.991186,0.981191
4300,0.0127793,0.980769,0.980769
4400,0.0115333,0.995234,0.975561
4500,0.0104088,0.995234,0.975561
4600,0.00939395,0.990026,0.975561
4700,0.00847804,0.973241,0.973241
4800,0.00765143,1.00652,0.973241
4900,0.00690541,0.987707,0.973241
5000,0.00623214,1.00536,0.973241
5100,0.0056245,1.01056,0.973241
5200,0.00507611,0.989731,0.973241
