iteration,temp,current_cost,best_cost
100,0.95,1.02286,1
200,0.857375,1.0434,1
300,0.773781,1.07403,1
400,0.698337,1.21607,1
500,0.630249,1.2282,1
600,0.5688,1.20418,1
700,0.513342,1.25162,1
800,0.463291,1.24844,1
900,0.41812,1.20677,1
1000,0.377354,1.20156,1
1100,0.340562,1.32136,1
1200,0.307357,1.29531,1
1300,0.27739,1.25886,1
1400,0.250344,1.21401,1
1500,0.225936,1.20359,1
1600,0.203907,1.18276,1
1700,0.184026,1.16713,1
1800,0.166083,1.18276,1
1900,0.14989,1.13067,1
2000,0.135276,1.16395,1
2100,0.122087,1.1379,1
2200,0.110183,1.13154,1
2300,0.0994403,1.20648,1
2400,0.0897448,1.24294,1
2500,0.0809947,1.20648,1
2600,0.0730977,1.24294,1
2700,0.0659707,1.31672,1
2800,0.0595386,1.30312,1
2900,0.0537335,1.26868,1
3000,0.0484945,1.24032,1
3100,0.0437663,1.21687,1
3200,0.0394991,1.16363,1
3300,0.0356479,1.17405,1
3400,0.0321723,1.17405,1
3500,0.0290355,1.18446,1
3600,0.0262045,1.17405,1
3700,0.0236496,1.2053,1
3800,0.0213437,1.18967,1
3900,0.0192627,1.18967,1
4000,0.0173846,1.21571,1
4100,0.0156896,1.11676,1
4200,0.0141599,1.0719,1
4300,0.0127793,1.08955,1
4400,0.0115333,1.0311,1
4500,0.0104088,1.02994,1
4600,0.00939395,1.00274,1
4700,0.00847804,0.981908,0.981908
4800,0.00765143,0.963099,0.963099
4900,0.00690541,0.973516,0.952682
5000,0.00623214,0.957891,0.952682
5100,0.0056245,0.952682,0.942266
5200,0.00507611,0.952682,0.942266
