temperature,avg_cost,max_cost,min_cost
1,1.01044,1.01765,1
0.95,1.02463,1.02807,1.01765
0.9025,1.02741,1.05092,1.00202
0.857375,1.04385,1.04774,1.04253
0.814506,1.05251,1.09487,1.03298
0.773781,1.07653,1.07924,1.06362
0.735092,1.10592,1.15357,1.07403
0.698337,1.1568,1.21607,1.13274
0.66342,1.2043,1.21607,1.19003
0.630249,1.22548,1.24382,1.18482
0.598737,1.2334,1.25105,1.2282
0.5688,1.23533,1.25105,1.20418
0.54036,1.15261,1.20418,1.12662
0.513342,1.21454,1.25162,1.18392
0.487675,1.25842,1.2849,1.236
0.463291,1.26031,1.2849,1.24323
0.440127,1.20854,1.24844,1.19636
0.41812,1.19615,1.2224,1.15469
0.397214,1.20281,1.21198,1.19636
0.377354,1.19229,1.20677,1.18594
0.358486,1.22084,1.22761,1.18594
0.340562,1.23396,1.32136,1.19636
0.323534,1.31917,1.33177,1.29011
0.307357,1.29896,1.30573,1.29011
0.291989,1.28594,1.29531,1.26927
0.27739,1.26052,1.26927,1.24844
0.26352,1.25619,1.26088,1.24005
0.250344,1.23182,1.26088,1.2088
0.237827,1.24848,1.26088,1.21401
0.225936,1.21411,1.22963,1.20359
0.214639,1.18765,1.20359,1.15671
0.203907,1.17223,1.18276,1.16192
0.193711,1.18755,1.21401,1.17234
0.184026,1.17328,1.18276,1.16713
0.174825,1.14411,1.16713,1.09942
0.166083,1.18692,1.19317,1.1463
0.157779,1.10442,1.18276,1.08901
0.14989,1.11942,1.13588,1.0838
0.142396,1.13734,1.16192,1.12546
0.135276,1.15335,1.16915,1.14109
0.128512,1.16228,1.16915,1.15874
0.122087,1.16499,1.18999,1.1327
0.115982,1.12536,1.14832,1.1055
0.110183,1.1207,1.13154,1.11591
0.104674,1.14946,1.16481,1.13154
0.0994403,1.17408,1.20648,1.13877
0.0944682,1.20908,1.25335,1.19606
0.0897448,1.23867,1.24294,1.23252
0.0852576,1.25169,1.26377,1.24814
0.0809947,1.22752,1.26377,1.20648
0.076945,1.20658,1.23773,1.19085
0.0730977,1.24033,1.24294,1.23773
0.0694428,1.25994,1.28344,1.24496
0.0659707,1.23548,1.31672,1.21776
0.0626722,1.30016,1.32193,1.26145
0.0595386,1.3002,1.31353,1.28228
0.0565616,1.28718,1.30312,1.25103
0.0537335,1.26417,1.26868,1.25827
0.0510469,1.26514,1.26868,1.26347
0.0484945,1.25366,1.2791,1.24032
0.0460698,1.23993,1.25044,1.20878
0.0437663,1.23031,1.25044,1.20125
0.041578,1.2076,1.21687,1.20125
0.0394991,1.17843,1.20327,1.16363
0.0375241,1.15946,1.21051,1.14801
0.0356479,1.15676,1.17405,1.14801
0.0338655,1.17196,1.17926,1.16884
0.0321723,1.1729,1.17926,1.16884
0.0305636,1.16082,1.17405,1.15321
0.0290355,1.1529,1.18967,1.1428
0.0275837,1.19176,1.2053,1.17926
0.0262045,1.16957,1.18446,1.15842
0.0248943,1.19332,1.21571,1.17405
0.0236496,1.20019,1.2053,1.18446
0.0224671,1.19353,1.2053,1.18446
0.0213437,1.18446,1.18967,1.17926
0.0202765,1.17821,1.2053,1.15842
0.0192627,1.20071,1.22092,1.17926
0.0182996,1.19082,1.19488,1.18446
0.0173846,1.20894,1.22092,1.18967
0.0165154,1.20644,1.22092,1.17926
0.0156896,1.13644,1.17926,1.11676
0.0149051,1.10378,1.11878,1.09795
0.0141599,1.08836,1.09795,1.0719
0.0134519,1.0737,1.08435,1.06872
0.0127793,1.0883,1.08955,1.08435
0.0121403,1.0632,1.08955,1.02908
0.0115333,1.02662,1.0311,1.01345
0.0109566,1.0374,1.04875,1.02589
0.0104088,1.03632,1.04557,1.02994
0.00988836,1.02899,1.03197,1.02155
0.00939395,1.01271,1.02155,1.00274
0.00892425,0.992325,1.00795,0.981908
0.00847804,0.984616,0.987116,0.981908
0.00805413,0.97545,0.981908,0.971491
0.00765143,0.972926,0.981908,0.963099
0.00726886,0.959453,0.963099,0.952682
0.00690541,0.965182,0.973516,0.952682
0.00656014,0.970911,0.973516,0.968307
0.00623214,0.960911,0.968307,0.957891
0.00592053,0.949349,0.957891,0.942266
0.0056245,0.951953,0.957891,0.947474
0.00534328,0.948411,0.952682,0.942266
0.00507611,0.952891,0.957891,0.952682
