iteration,temp,current_cost,best_cost
100,0.95,1.03429,0.955149
200,0.857375,1.05684,0.955149
300,0.773781,1.04324,0.955149
400,0.698337,0.942814,0.942814
500,0.630249,0.943826,0.903751
600,0.5688,0.976088,0.903751
700,0.513342,1.08648,0.903751
800,0.463291,1.13335,0.903751
900,0.41812,1.16719,0.903751
1000,0.377354,1.21711,0.903751
1100,0.340562,1.17023,0.903751
1200,0.307357,1.24836,0.903751
1300,0.27739,1.08429,0.903751
1400,0.250344,1.12336,0.903751
1500,0.225936,1.11959,0.903751
1600,0.203907,1.14303,0.903751
1700,0.184026,1.1274,0.903751
1800,0.166083,1.10397,0.903751
1900,0.14989,1.09037,0.903751
2000,0.135276,1.01325,0.903751
2100,0.122087,1.02107,0.903751
2200,0.110183,1.05333,0.903751
2300,0.0994403,0.99184,0.903751
2400,0.0897448,1.01528,0.903751
2500,0.0809947,1.03871,0.903751
2600,0.0730977,1.1559,0.903751
2700,0.0659707,1.14129,0.903751
2800,0.0595386,1.06519,0.903751
2900,0.0537335,1.02613,0.903751
3000,0.0484945,1.01831,0.903751
3100,0.0437663,1.05058,0.903751
3200,0.0394991,1.07503,0.903751
3300,0.0356479,1.11437,0.903751
3400,0.0321723,1.08312,0.903751
3500,0.0290355,1.1232,0.903751
3600,0.0262045,1.13882,0.903751
3700,0.0236496,1.08413,0.903751
3800,0.0213437,1.11061,0.903751
3900,0.0192627,1.16732,0.903751
4000,0.0173846,1.11263,0.903751
4100,0.0156896,1.06576,0.903751
4200,0.0141599,1.00326,0.903751
4300,0.0127793,0.972008,0.903751
4400,0.0115333,0.981845,0.903751
4500,0.0104088,1.02091,0.903751
4600,0.00939395,0.96622,0.903751
4700,0.00847804,0.896919,0.889107
4800,0.00765143,0.881294,0.873482
4900,0.00690541,0.851056,0.810982
5000,0.00623214,0.874494,0.810982
5100,0.0056245,0.851056,0.810982
5200,0.00507611,0.866681,0.810982
