run,cost,latency,area,time_ms
1,0.641416,379,165,3794.57
2,0.705371,365,215,3675.59
3,0.569522,362,130,3704.26
4,0.810982,369,280,3633.3
5,0.576322,361,135,3725.85
6,0.647931,370,175,3708.81
7,0.663272,362,190,3695.63
8,0.834135,361,300,3642.16
9,0.920072,361,355,3659.08
10,0.798836,357,280,3810.19
