temperature,avg_cost,max_cost,min_cost
1,0.986535,1,0.969762
0.95,0.999913,1.0217,0.971786
0.9025,1.05545,1.06857,1.02951
0.857375,1.04982,1.06857,1.04514
0.814506,1.10857,1.2092,1.00607
0.773781,1.22623,1.23264,1.2092
0.735092,1.23137,1.24927,1.21701
0.698337,1.25896,1.29615,1.21021
0.66342,1.33662,1.38209,1.24927
0.630249,1.43365,1.4524,1.37427
0.598737,1.52283,1.56278,1.42896
0.5688,1.54205,1.56278,1.53935
0.54036,1.4927,1.54036,1.44661
0.513342,1.46192,1.47786,1.4388
0.487675,1.46255,1.47786,1.44661
0.463291,1.42579,1.47786,1.4003
0.440127,1.36616,1.43155,1.32332
0.41812,1.32941,1.35457,1.32332
0.397214,1.3965,1.43269,1.33894
0.377354,1.39889,1.40982,1.3942
0.358486,1.40139,1.42545,1.38639
0.340562,1.41906,1.44209,1.39521
0.323534,1.3934,1.4295,1.35137
0.307357,1.40298,1.4295,1.37105
0.291989,1.39558,1.4023,1.37105
0.27739,1.37726,1.39448,1.35542
0.26352,1.41806,1.49127,1.37987
0.250344,1.39393,1.49908,1.34283
0.237827,1.36625,1.38291,1.35166
0.225936,1.44452,1.46986,1.38291
0.214639,1.47798,1.50111,1.46204
0.203907,1.51939,1.54017,1.47767
0.193711,1.53704,1.56361,1.52454
0.184026,1.56626,1.58704,1.54798
0.174825,1.54923,1.58704,1.52454
0.166083,1.53704,1.54798,1.52454
0.157779,1.48501,1.53236,1.46204
0.14989,1.45502,1.47767,1.40056
0.142396,1.45915,1.47868,1.43962
0.135276,1.39118,1.44743,1.36931
0.128512,1.2954,1.37712,1.25993
0.122087,1.17728,1.28337,1.12712
0.115982,1.12778,1.13493,1.11931
0.110183,1.12469,1.17501,1.10469
0.104674,1.14813,1.18282,1.11251
0.0994403,1.17829,1.21407,1.12032
0.0944682,1.22298,1.25313,1.20626
0.0897448,1.27016,1.27657,1.24532
0.0852576,1.24985,1.26876,1.24532
0.0809947,1.25844,1.31563,1.23751
0.076945,1.30876,1.33907,1.29219
0.0730977,1.3036,1.34688,1.26876
0.0694428,1.34469,1.45626,1.30782
0.0659707,1.46113,1.49734,1.42703
0.0626722,1.48955,1.49054,1.48273
0.0595386,1.46242,1.49054,1.44367
0.0565616,1.39945,1.45148,1.36554
0.0537335,1.37367,1.38117,1.36554
0.0510469,1.38304,1.41242,1.37336
0.0484945,1.38179,1.40461,1.34992
0.0460698,1.36782,1.40461,1.32952
0.0437663,1.33217,1.34514,1.3217
0.041578,1.3367,1.35295,1.26702
0.0394991,1.24514,1.27483,1.22795
0.0375241,1.2128,1.22795,1.1967
0.0356479,1.23124,1.24358,1.21233
0.0338655,1.19949,1.24358,1.16169
0.0321723,1.13279,1.16169,1.07676
0.0305636,1.07226,1.08458,1.05434
0.0290355,1.11278,1.12465,1.05434
0.0275837,1.11606,1.12465,1.10121
0.0262045,1.10528,1.14028,1.06215
0.0248943,1.057,1.06996,1.03871
0.0236496,1.05387,1.06215,1.03871
0.0224671,0.992019,1.05535,0.968402
0.0213437,1.06141,1.06418,1.05535
0.0202765,1.04574,1.06418,1.04074
0.0192627,1.04636,1.05636,1.03293
0.0182996,1.04199,1.06418,1.03293
0.0173846,1.05777,1.09543,1.00168
0.0165154,1.00574,1.0173,0.978239
0.0156896,0.97777,0.978239,0.970426
0.0149051,0.967926,0.978239,0.962614
0.0141599,0.966208,0.970426,0.962614
0.0134519,0.955895,0.962614,0.954801
0.0127793,0.946989,0.962614,0.923551
0.0121403,0.952926,0.954801,0.946989
0.0115333,0.946364,0.954801,0.939176
0.0109566,0.946989,0.946989,0.946989
0.0104088,0.941833,0.946989,0.939176
0.00988836,0.942145,0.978239,0.907926
0.00939395,0.915114,0.923551,0.907926
0.00892425,0.908708,0.915739,0.900114
0.00847804,0.904489,0.907926,0.900114
0.00805413,0.887926,0.900114,0.868864
0.00765143,0.875583,0.884489,0.868864
0.00726886,0.863577,0.868864,0.8026
0.00690541,0.832157,0.842675,0.8026
0.00656014,0.830276,0.834862,0.82705
0.00623214,0.82853,0.835874,0.820249
0.00592053,0.83353,0.835874,0.828062
0.0056245,0.824291,0.836886,0.813449
0.00534328,0.812117,0.822274,0.798836
0.00507611,0.806585,0.807661,0.798836
