temperature,avg_cost,max_cost,min_cost
1,0.969793,1.00202,0.948349
0.95,0.954598,0.979599,0.934748
0.9025,0.996623,1.04412,0.965998
0.857375,1.08306,1.17014,0.965998
0.814506,1.12685,1.19357,1.06857
0.773781,1.04032,1.0842,0.985672
0.735092,1.02071,1.08043,0.993484
0.698337,1.11278,1.182,1.04137
0.66342,1.1717,1.20543,1.07667
0.630249,1.0934,1.10893,1.07667
0.598737,1.15435,1.19689,1.10112
0.5688,1.26455,1.30627,1.18908
0.54036,1.27109,1.31408,1.19993
0.513342,1.20227,1.21556,1.17649
0.487675,1.21395,1.24001,1.19993
0.463291,1.19532,1.24001,1.16969
0.440127,1.22454,1.27907,1.18532
0.41812,1.19701,1.24001,1.17273
0.397214,1.20039,1.21179,1.18835
0.377354,1.18826,1.22799,1.14205
0.358486,1.14547,1.17735,1.13047
0.340562,1.11812,1.1461,1.0564
0.323534,1.09077,1.14233,1.06421
0.307357,1.15238,1.19022,1.09546
0.291989,1.12218,1.19022,1.06506
0.27739,1.17461,1.19006,1.15201
0.26352,1.10373,1.1442,1.07389
0.250344,1.12498,1.1442,1.11295
0.237827,1.24076,1.26139,1.1442
0.225936,1.23731,1.25459,1.22435
0.214639,1.23976,1.27904,1.20395
0.203907,1.2224,1.25285,1.18933
0.193711,1.23363,1.25285,1.2216
0.184026,1.21144,1.23722,1.16691
0.174825,1.11793,1.17472,1.07518
0.166083,1.11096,1.12987,1.09081
0.157779,1.15971,1.19237,1.09081
0.14989,1.18647,1.20901,1.16893
0.142396,1.20166,1.20901,1.2012
0.135276,1.20979,1.23245,1.19338
0.128512,1.15758,1.17096,1.14651
0.122087,1.18694,1.21002,1.17096
0.115982,1.20134,1.22666,1.14853
0.110183,1.1653,1.20423,1.14853
0.104674,1.19751,1.21204,1.17298
0.0994403,1.25876,1.28236,1.22767
0.0944682,1.25423,1.28236,1.22767
0.0897448,1.24236,1.32142,1.22767
0.0852576,1.31132,1.32923,1.21508
0.0809947,1.16983,1.21508,1.13218
0.076945,1.13937,1.1478,1.11655
0.0730977,1.15017,1.16343,1.13999
0.0694428,1.14866,1.16444,1.13319
0.0659707,1.10179,1.14882,1.08935
0.0626722,1.1156,1.14404,1.08154
0.0595386,1.11295,1.12842,1.08154
0.0565616,1.08066,1.12842,1.06215
0.0537335,1.062,1.0934,1.04653
0.0510469,1.04445,1.06996,1.02309
0.0484945,1.04645,1.07098,1.03191
0.0460698,1.01082,1.03973,0.969414
0.0437663,0.961758,0.977227,0.945977
0.041578,0.944414,0.961602,0.930352
0.0394991,0.932614,0.953789,0.923551
0.0375241,0.978446,0.995888,0.916751
0.0356479,0.998076,1.01151,0.988076
0.0338655,0.99881,1.02714,0.921812
0.0321723,0.913687,0.921812,0.898374
0.0305636,0.866224,0.921812,0.813449
0.0290355,0.80923,0.821261,0.797824
0.0275837,0.77423,0.805636,0.735324
0.0262045,0.728718,0.743136,0.682661
0.0248943,0.693442,0.729536,0.667036
0.0236496,0.700317,0.721723,0.674848
0.0224671,0.695629,0.721723,0.682661
0.0213437,0.693636,0.699298,0.674848
0.0202765,0.636485,0.691485,0.621173
0.0192627,0.637892,0.64461,0.628985
0.0182996,0.643102,0.645622,0.63781
0.0173846,0.664569,0.685697,0.645622
0.0165154,0.683822,0.685697,0.677885
0.0156896,0.684447,0.69351,0.677885
0.0149051,0.675697,0.685697,0.670072
0.0141599,0.659603,0.685697,0.63101
0.0134519,0.621947,0.63101,0.607572
0.0127793,0.600541,0.615385,0.576322
0.0121403,0.596478,0.615385,0.576322
0.0115333,0.629786,0.655459,0.615385
0.0109566,0.669889,0.679909,0.655459
0.0104088,0.664393,0.679909,0.649671
0.00988836,0.670921,0.680921,0.641859
0.00939395,0.650712,0.666308,0.641859
0.00892425,0.665176,0.66732,0.659508
0.00847804,0.660844,0.661532,0.66052
0.00805413,0.65981,0.669345,0.654732
0.00765143,0.637857,0.662544,0.623482
0.00726886,0.621607,0.623482,0.615669
0.00690541,0.623951,0.631294,0.615669
0.00656014,0.620712,0.624494,0.615669
0.00623214,0.610781,0.625506,0.586444
0.00592053,0.602069,0.602069,0.602069
0.0056245,0.600037,0.602069,0.594256
0.00534328,0.596131,0.602069,0.594256
0.00507611,0.610037,0.617694,0.602069
