iteration,temp,current_cost,best_cost
100,0.975,1.17045,1.15575
200,0.926859,1.40463,1.15575
300,0.881096,1.42669,1.15575
400,0.837592,1.69184,1.15575
500,0.796236,1.50178,1.15575
600,0.756921,1.67558,1.15575
700,0.719548,1.67558,1.15575
800,0.684021,1.29701,1.15575
900,0.650247,1.56217,1.15575
1000,0.618141,1.30437,1.15575
1100,0.58762,1.31907,1.15575
1200,0.558607,1.48552,1.15575
1300,0.531026,1.55325,1.15575
1400,0.504806,1.4619,1.15575
1500,0.479881,1.30281,1.15575
1600,0.456187,1.36319,1.15575
1700,0.433663,1.9082,1.15575
1800,0.412251,1.74176,1.15575
1900,0.391896,1.74176,1.15575
2000,0.372546,2.06729,1.15575
2100,0.354152,2.40753,1.15575
2200,0.336665,1.93026,1.15575
2300,0.320043,1.73284,1.15575
2400,0.30424,1.64884,1.15575
2500,0.289219,1.87567,1.15575
2600,0.274938,1.56484,1.15575
2700,0.261363,2.22326,1.15575
2800,0.248459,1.91243,1.15575
2900,0.236191,1.80637,1.15575
3000,0.224529,1.98752,1.15575
3100,0.213443,1.62366,1.15575
3200,0.202904,1.99488,1.15575
3300,0.192886,1.84314,1.15575
3400,0.183362,2.00223,1.15575
3500,0.174308,1.5176,1.15575
3600,0.165702,2.00223,1.15575
3700,0.15752,2.16132,1.15575
3800,0.149743,1.71346,1.15575
3900,0.142349,1.66043,1.15575
4000,0.135321,1.66778,1.15575
4100,0.128639,1.6074,1.15575
4200,0.122288,1.6074,1.15575
4300,0.11625,1.6074,1.15575
4400,0.11051,1.61475,1.15575
4500,0.105054,1.72816,1.15575
4600,0.0998665,1.6221,1.15575
4700,0.0949356,1.56907,1.15575
4800,0.0902482,1.72816,1.15575
4900,0.0857922,1.51604,1.15575
5000,0.0815562,1.53075,1.15575
5100,0.0775294,1.58378,1.15575
5200,0.0737013,1.74287,1.15575
5300,0.0700623,1.63681,1.15575
5400,0.066603,1.64416,1.15575
5500,0.0633145,1.66622,1.15575
5600,0.0601883,1.89305,1.15575
5700,0.0572165,1.78699,1.15575
5800,0.0543915,1.63525,1.15575
5900,0.0517059,1.74131,1.15575
