iteration,temp,current_cost,best_cost
100,0.975,1.32955,1.2471
200,0.926859,1.48864,1.22348
300,0.881096,1.40463,1.19251
400,0.837592,1.51805,1.19251
500,0.796236,1.38102,1.19251
600,0.756921,1.4414,1.19251
700,0.719548,1.34269,1.19251
800,0.684021,1.45611,1.19251
900,0.650247,1.47081,1.19251
1000,0.618141,1.68293,1.19251
1100,0.58762,1.68293,1.19251
1200,0.558607,1.69764,1.19251
1300,0.531026,1.81105,1.19251
1400,0.504806,1.39416,1.19251
1500,0.479881,1.40152,1.19251
1600,0.456187,1.46925,1.19251
1700,0.433663,1.79479,1.19251
1800,0.412251,2.27206,1.19251
1900,0.391896,2.27206,1.19251
2000,0.372546,2.00691,1.19251
2100,0.354152,1.59002,1.19251
2200,0.336665,1.80949,1.19251
2300,0.320043,2.082,1.19251
2400,0.30424,1.92291,1.19251
2500,0.289219,2.20276,1.19251
2600,0.274938,2.46791,1.19251
2700,0.261363,1.83155,1.19251
2800,0.248459,2.52094,1.19251
2900,0.236191,2.46791,1.19251
3000,0.224529,2.25579,1.19251
3100,0.213443,2.48262,1.19251
3200,0.202904,2.74777,1.19251
3300,0.192886,2.43694,1.19251
3400,0.183362,2.66377,1.19251
3500,0.174308,2.13347,1.19251
3600,0.165702,2.1865,1.19251
3700,0.15752,2.14082,1.19251
3800,0.149743,2.36029,1.19251
3900,0.142349,2.30726,1.19251
4000,0.135321,1.98908,1.19251
4100,0.128639,2.04947,1.19251
4200,0.122288,2.375,1.19251
4300,0.11625,1.68561,1.19251
4400,0.11051,1.53387,1.19251
4500,0.105054,1.90508,1.19251
4600,0.0998665,1.8594,1.19251
4700,0.0949356,1.91979,1.19251
4800,0.0902482,1.86676,1.19251
4900,0.0857922,1.92714,1.19251
5000,0.0815562,1.94184,1.19251
5100,0.0775294,1.99488,1.19251
5200,0.0737013,2.00958,1.19251
5300,0.0700623,1.91087,1.19251
5400,0.066603,1.9639,1.19251
5500,0.0633145,1.81952,1.19251
5600,0.0601883,1.55437,1.19251
5700,0.0572165,1.75914,1.19251
5800,0.0543915,1.81217,1.19251
5900,0.0517059,1.65307,1.19251
