iteration,temp,current_cost,best_cost
100,0.975,1.24554,1.24554
200,0.926859,1.47972,1.24554
300,0.881096,1.28231,1.24554
400,0.837592,1.39572,1.24554
500,0.796236,1.24398,1.23663
600,0.756921,1.30437,1.23663
700,0.719548,1.42513,1.23663
800,0.684021,1.29545,1.23663
900,0.650247,1.34848,1.23663
1000,0.618141,1.31016,1.23663
1100,0.58762,1.52228,1.23663
1200,0.558607,1.31016,1.23663
1300,0.531026,1.32487,1.23663
1400,0.504806,1.33957,1.23663
1500,0.479881,1.36163,1.23663
1600,0.456187,1.36898,1.23663
1700,0.433663,1.37634,1.23663
1800,0.412251,1.64884,1.23663
1900,0.391896,1.44407,1.23663
2000,0.372546,1.66355,1.23663
2100,0.354152,1.40575,1.23663
2200,0.336665,1.51181,1.23663
2300,0.320043,1.5869,1.23663
2400,0.30424,1.43516,1.23663
2500,0.289219,1.43516,1.23663
2600,0.274938,1.54857,1.23663
2700,0.261363,1.54857,1.23663
2800,0.248459,1.70766,1.23663
2900,0.236191,1.71502,1.23663
3000,0.224529,1.44987,1.23663
3100,0.213443,1.46457,1.23663
3200,0.202904,1.5176,1.23663
3300,0.192886,1.58534,1.23663
3400,0.183362,1.59269,1.23663
3500,0.174308,1.70611,1.23663
3600,0.165702,1.72081,1.23663
3700,0.15752,1.51604,1.23663
3800,0.149743,1.67513,1.23663
3900,0.142349,1.67513,1.23663
4000,0.135321,1.6221,1.23663
4100,0.128639,1.57643,1.23663
4200,0.122288,1.65152,1.23663
4300,0.11625,1.70455,1.23663
4400,0.11051,1.60584,1.23663
4500,0.105054,1.92402,1.23663
4600,0.0998665,1.81061,1.23663
4700,0.0949356,1.54545,1.23663
4800,0.0902482,1.54545,1.23663
4900,0.0857922,1.5381,1.23663
5000,0.0815562,1.5381,1.23663
5100,0.0775294,1.59848,1.23663
5200,0.0737013,1.60584,1.23663
5300,0.0700623,1.65887,1.23663
5400,0.066603,1.65887,1.23663
5500,0.0633145,1.60584,1.23663
5600,0.0601883,1.65887,1.23663
5700,0.0572165,1.56751,1.23663
5800,0.0543915,1.66622,1.23663
5900,0.0517059,1.62054,1.23663
