iteration,temp,current_cost,best_cost
100,0.975,2.30771,1.86141
200,0.926859,2.36809,1.86141
300,0.881096,2.16332,1.86141
400,0.837592,2.54189,1.86141
500,0.796236,2.03365,1.86141
600,0.756921,2.041,1.82888
700,0.719548,1.98797,1.56373
800,0.684021,2.01738,1.56373
900,0.650247,1.70655,1.56373
1000,0.618141,1.82732,1.56373
1100,0.58762,1.49287,1.36475
1200,0.558607,1.50022,1.36475
1300,0.531026,1.35584,1.35584
1400,0.504806,1.46925,1.35584
1500,0.479881,1.42357,1.35584
1600,0.456187,1.86252,1.35584
1700,0.433663,1.33957,1.33957
1800,0.412251,1.55905,1.33957
1900,0.391896,1.93761,1.33957
2000,0.372546,2.05838,1.33957
2100,0.354152,1.89929,1.33957
2200,0.336665,2.11141,1.33957
2300,0.320043,1.89929,1.33957
2400,0.30424,2.0127,1.33957
2500,0.289219,1.86096,1.33957
2600,0.274938,2.23953,1.33957
2700,0.261363,2.14082,1.33957
2800,0.248459,1.82264,1.33957
2900,0.236191,1.71658,1.33957
3000,0.224529,1.71658,1.33957
3100,0.213443,1.76961,1.33957
3200,0.202904,1.57219,1.33957
3300,0.192886,1.63258,1.33957
3400,0.183362,1.68561,1.33957
3500,0.174308,1.73128,1.33957
3600,0.165702,1.89037,1.33957
3700,0.15752,1.9434,1.33957
3800,0.149743,1.95076,1.33957
3900,0.142349,1.89773,1.33957
4000,0.135321,1.90508,1.33957
4100,0.128639,2.06417,1.33957
4200,0.122288,2.07888,1.33957
4300,0.11625,2.19229,1.33957
4400,0.11051,2.4648,1.33957
4500,0.105054,2.67692,1.33957
4600,0.0998665,2.67692,1.33957
4700,0.0949356,2.7373,1.33957
4800,0.0902482,2.4648,1.33957
4900,0.0857922,2.25267,1.33957
5000,0.0815562,2.68427,1.33957
5100,0.0775294,2.26003,1.33957
5200,0.0737013,2.57821,1.33957
5300,0.0700623,2.51783,1.33957
5400,0.066603,2.47215,1.33957
5500,0.0633145,2.31306,1.33957
5600,0.0601883,2.47215,1.33957
5700,0.0572165,2.52518,1.33957
5800,0.0543915,2.19964,1.33957
5900,0.0517059,2.09358,1.33957
