iteration,temp,current_cost,best_cost
100,0.975,1.53587,1.48284
200,0.926859,1.26181,1.26181
300,0.881096,1.48128,1.20878
400,0.837592,1.44296,1.20878
500,0.796236,1.2529,1.20878
600,0.756921,1.26025,1.20722
700,0.719548,1.79791,1.20722
800,0.684021,2.12344,1.20722
900,0.650247,1.60049,1.20722
1000,0.618141,1.45611,1.20722
1100,0.58762,1.3574,1.20722
1200,0.558607,1.37946,1.20722
1300,0.531026,1.2881,1.20722
1400,0.504806,1.29545,1.20722
1500,0.479881,1.67402,1.20722
1600,0.456187,1.57531,1.20722
1700,0.433663,1.31751,1.20722
1800,0.412251,1.49131,1.20722
1900,0.391896,1.3926,1.20722
2000,0.372546,1.33957,1.20722
2100,0.354152,1.34693,1.20722
2200,0.336665,1.35428,1.20722
2300,0.320043,1.36163,1.20722
2400,0.30424,1.36163,1.20722
2500,0.289219,1.38369,1.20722
2600,0.274938,1.39104,1.20722
2700,0.261363,1.45143,1.20722
2800,0.248459,1.45878,1.20722
2900,0.236191,1.4131,1.20722
3000,0.224529,1.43516,1.20722
3100,0.213443,1.43516,1.20722
3200,0.202904,1.43516,1.20722
3300,0.192886,1.66199,1.20722
3400,0.183362,1.44987,1.20722
3500,0.174308,1.44987,1.20722
3600,0.165702,1.66934,1.20722
3700,0.15752,1.79011,1.20722
3800,0.149743,1.58534,1.20722
3900,0.142349,1.53966,1.20722
4000,0.135321,1.54701,1.20722
4100,0.128639,1.97861,1.20722
4200,0.122288,1.82687,1.20722
4300,0.11625,1.67513,1.20722
4400,0.11051,1.78855,1.20722
4500,0.105054,1.96234,1.20722
4600,0.0998665,1.60584,1.20722
4700,0.0949356,1.91667,1.20722
4800,0.0902482,1.81061,1.20722
4900,0.0857922,1.65887,1.20722
5000,0.0815562,1.78699,1.20722
5100,0.0775294,1.7266,1.20722
5200,0.0737013,1.71925,1.20722
5300,0.0700623,1.62054,1.20722
5400,0.066603,1.6279,1.20722
5500,0.0633145,1.84002,1.20722
5600,0.0601883,1.84737,1.20722
5700,0.0572165,1.79434,1.20722
5800,0.0543915,1.84737,1.20722
5900,0.0517059,1.79434,1.20722
