iteration,temp,current_cost,best_cost
100,0.975,2.24889,1.61252
200,0.926859,1.68026,1.61252
300,0.881096,1.80838,1.61252
400,0.837592,1.44296,1.28387
500,0.796236,1.41199,1.28387
600,0.756921,1.65352,1.28387
700,0.719548,1.35004,1.28387
800,0.684021,1.47081,1.28387
900,0.650247,1.36475,1.28387
1000,0.618141,1.53119,1.28387
1100,0.58762,1.82576,1.28387
1200,0.558607,1.56061,1.28387
1300,0.531026,1.40887,1.28387
1400,0.504806,1.3779,1.28387
1500,0.479881,1.48396,1.28387
1600,0.456187,1.3926,1.28387
1700,0.433663,1.8242,1.28387
1800,0.412251,1.39996,1.28387
1900,0.391896,1.50602,1.28387
2000,0.372546,1.36163,1.28387
2100,0.354152,1.36163,1.28387
2200,0.336665,1.37634,1.28387
2300,0.320043,1.39104,1.28387
2400,0.30424,1.45143,1.28387
2500,0.289219,1.71658,1.28387
2600,0.274938,2.14082,1.28387
2700,0.261363,1.55013,1.28387
2800,0.248459,1.4971,1.28387
2900,0.236191,1.56484,1.28387
3000,0.224529,1.57955,1.28387
3100,0.213443,1.91979,1.28387
3200,0.202904,1.56328,1.28387
3300,0.192886,1.51025,1.28387
3400,0.183362,1.66934,1.28387
3500,0.174308,1.61631,1.28387
3600,0.165702,1.56328,1.28387
3700,0.15752,1.45722,1.28387
3800,0.149743,1.51025,1.28387
3900,0.142349,1.45722,1.28387
4000,0.135321,1.44987,1.28387
4100,0.128639,1.44987,1.28387
4200,0.122288,1.45722,1.28387
4300,0.11625,1.46457,1.28387
4400,0.11051,1.47928,1.28387
4500,0.105054,1.63837,1.28387
4600,0.0998665,1.6074,1.28387
4700,0.0949356,1.56172,1.28387
4800,0.0902482,1.50134,1.28387
4900,0.0857922,1.56172,1.28387
5000,0.0815562,1.56907,1.28387
5100,0.0775294,1.62946,1.28387
5200,0.0737013,1.57643,1.28387
5300,0.0700623,1.58378,1.28387
5400,0.066603,1.74287,1.28387
5500,0.0633145,1.5234,1.28387
5600,0.0601883,1.5234,1.28387
5700,0.0572165,1.62946,1.28387
5800,0.0543915,1.58378,1.28387
5900,0.0517059,1.53075,1.28387
