iteration,temp,current_cost,best_cost
100,0.975,1.4902,1.34737
200,0.926859,1.6934,1.34737
300,0.881096,1.18516,1.18516
400,0.837592,1.19251,1.18516
500,0.796236,1.19987,1.18516
600,0.756921,1.20722,1.18516
700,0.719548,1.28231,1.18516
800,0.684021,1.56217,1.18516
900,0.650247,1.35004,1.18516
1000,0.618141,1.41778,1.18516
1100,0.58762,1.69029,1.18516
1200,0.558607,1.55325,1.18516
1300,0.531026,2.04523,1.18516
1400,0.504806,1.79479,1.18516
1500,0.479881,1.58266,1.18516
1600,0.456187,1.80214,1.18516
1700,0.433663,1.32487,1.18516
1800,0.412251,1.33957,1.18516
1900,0.391896,1.33957,1.18516
2000,0.372546,1.65775,1.18516
2100,0.354152,1.33957,1.18516
2200,0.336665,1.55169,1.18516
2300,0.320043,1.33222,1.18516
2400,0.30424,1.33957,1.18516
2500,0.289219,1.34693,1.18516
2600,0.274938,1.36163,1.18516
2700,0.261363,1.36898,1.18516
2800,0.248459,1.58111,1.18516
2900,0.236191,1.37634,1.18516
3000,0.224529,1.37634,1.18516
3100,0.213443,1.38369,1.18516
3200,0.202904,1.38369,1.18516
3300,0.192886,1.37634,1.18516
3400,0.183362,1.54278,1.18516
3500,0.174308,1.55013,1.18516
3600,0.165702,1.82264,1.18516
3700,0.15752,1.82999,1.18516
3800,0.149743,1.72393,1.18516
3900,0.142349,1.61787,1.18516
4000,0.135321,1.45878,1.18516
4100,0.128639,1.46613,1.18516
4200,0.122288,1.42045,1.18516
4300,0.11625,1.52652,1.18516
4400,0.11051,1.48819,1.18516
4500,0.105054,1.44251,1.18516
4600,0.0998665,1.44251,1.18516
4700,0.0949356,1.51025,1.18516
4800,0.0902482,1.5176,1.18516
4900,0.0857922,1.47193,1.18516
5000,0.0815562,1.68405,1.18516
5100,0.0775294,1.47193,1.18516
5200,0.0737013,1.63102,1.18516
5300,0.0700623,1.73708,1.18516
5400,0.066603,1.52496,1.18516
5500,0.0633145,1.58534,1.18516
5600,0.0601883,1.81217,1.18516
5700,0.0572165,1.76649,1.18516
5800,0.0543915,1.55437,1.18516
5900,0.0517059,1.55437,1.18516
