iteration,temp,current_cost,best_cost
100,0.975,1.34581,1.33846
200,0.926859,1.49599,1.20878
300,0.881096,1.28387,1.20878
400,0.837592,1.36631,1.20878
500,0.796236,1.69184,1.20878
600,0.756921,1.59314,1.20878
700,0.719548,1.75958,1.20878
800,0.684021,1.82732,1.20878
900,0.650247,1.99376,1.20878
1000,0.618141,1.68293,1.20878
1100,0.58762,2.0762,1.20878
1200,0.558607,1.91711,1.20878
1300,0.531026,2.55348,1.20878
1400,0.504806,2.67424,1.20878
1500,0.479881,2.57553,1.20878
1600,0.456187,2.75668,1.20878
1700,0.433663,2.3398,1.20878
1800,0.412251,2.3545,1.20878
1900,0.391896,2.31618,1.20878
2000,0.372546,2.06573,1.20878
2100,0.354152,2.0127,1.20878
2200,0.336665,1.92135,1.20878
2300,0.320043,2.08044,1.20878
2400,0.30424,2.13347,1.20878
2500,0.289219,2.29256,1.20878
2600,0.274938,2.55771,1.20878
2700,0.261363,2.29256,1.20878
2800,0.248459,2.14082,1.20878
2900,0.236191,2.41332,1.20878
3000,0.224529,1.89037,1.20878
3100,0.213443,2.43538,1.20878
3200,0.202904,2.55615,1.20878
3300,0.192886,2.60918,1.20878
3400,0.183362,3.14684,1.20878
3500,0.174308,2.9951,1.20878
3600,0.165702,2.88904,1.20878
3700,0.15752,2.93471,1.20878
3800,0.149743,2.72259,1.20878
3900,0.142349,2.4648,1.20878
4000,0.135321,2.58556,1.20878
4100,0.128639,2.2217,1.20878
4200,0.122288,2.00958,1.20878
4300,0.11625,2.16867,1.20878
4400,0.11051,2.3955,1.20878
4500,0.105054,2.50891,1.20878
4600,0.0998665,2.67536,1.20878
4700,0.0949356,2.53097,1.20878
4800,0.0902482,2.37188,1.20878
4900,0.0857922,2.71212,1.20878
5000,0.0815562,3.08333,1.20878
5100,0.0775294,2.81818,1.20878
5200,0.0737013,2.45432,1.20878
5300,0.0700623,2.24955,1.20878
5400,0.066603,2.20388,1.20878
5500,0.0633145,2.14349,1.20878
5600,0.0601883,2.09782,1.20878
5700,0.0572165,2.20388,1.20878
5800,0.0543915,2.48373,1.20878
5900,0.0517059,2.43806,1.20878
