temperature,avg_cost,max_cost,min_cost
1,1.9314,2.00735,1.86297
0.975,1.43891,1.87767,1.25446
0.950625,1.29575,1.4209,1.26181
0.926859,1.27653,1.36787,1.17045
0.903688,1.6339,2.02629,1.32955
0.881096,1.68053,1.81417,1.38993
0.859068,1.66225,1.83623,1.6094
0.837592,1.46354,1.67714,1.20722
0.816652,1.21734,1.2676,1.20722
0.796236,1.28526,1.44875,1.21457
0.77633,1.38048,1.6152,1.24398
0.756921,1.28685,1.31907,1.25134
0.737998,1.35734,1.42513,1.31907
0.719548,1.59794,1.75067,1.32643
0.70156,1.32749,1.75067,1.2734
0.684021,1.27016,1.2734,1.26604
0.66692,1.26604,1.26604,1.26604
0.650247,1.26604,1.26604,1.26604
0.633991,1.26604,1.26604,1.26604
0.618141,1.33922,1.42513,1.26604
0.602688,1.33763,1.42513,1.26604
0.58762,1.40802,1.49287,1.28075
0.57293,1.31787,1.33378,1.28075
0.558607,1.28393,1.33378,1.28075
0.544642,1.31009,1.34113,1.28075
0.531026,1.36157,1.56796,1.2881
0.51775,1.56584,1.9922,1.35584
0.504806,1.71608,1.9922,1.57531
0.492186,1.66016,1.89349,1.52228
0.479881,1.60925,1.68137,1.52228
0.467884,1.54873,1.68137,1.46925
0.456187,1.39812,1.52963,1.31751
0.444783,1.3485,1.3779,1.31751
0.433663,1.37896,1.48396,1.32487
0.422821,1.43199,1.48396,1.43093
0.412251,1.55184,1.64305,1.43093
0.401945,1.64623,1.69608,1.53699
0.391896,1.57305,1.74911,1.43093
0.382099,1.51153,1.59002,1.3779
0.372546,1.40335,1.59002,1.32487
0.363232,1.42881,1.80214,1.32487
0.354152,1.67487,1.80214,1.59002
0.345298,1.57744,1.69608,1.43093
0.336665,1.55744,1.71814,1.3926
0.328249,1.76056,2.14238,1.66511
0.320043,1.71814,1.8242,1.55905
0.312041,1.49859,1.55905,1.45299
0.30424,1.44434,1.5664,1.39996
0.296634,1.6197,1.77852,1.55905
0.289219,1.69268,1.8242,1.61208
0.281988,1.57708,1.71814,1.39996
0.274938,1.47588,1.55905,1.39996
0.268065,1.48586,1.55905,1.45299
0.261363,1.64814,1.77117,1.55905
0.254829,1.58026,1.77117,1.34693
0.248459,1.39707,1.5664,1.34693
0.242247,1.47736,1.5664,1.40731
0.236191,1.48466,1.52072,1.46769
0.230286,1.67981,1.89193,1.52072
0.224529,1.52595,1.89929,1.42201
0.218916,1.42138,1.48975,1.38369
0.213443,1.4053,1.44407,1.38369
0.208107,1.51089,1.60316,1.39104
0.202904,1.50665,1.55013,1.39104
0.197831,1.39104,1.39104,1.39104
0.192886,1.39104,1.39104,1.39104
0.188064,1.40377,1.55013,1.39104
0.183362,1.39316,1.44407,1.39104
0.178778,1.39104,1.39104,1.39104
0.174308,1.43029,1.4971,1.39104
0.169951,1.45044,1.4971,1.44407
0.165702,1.4218,1.81529,1.39104
0.161559,1.43983,1.4971,1.39104
0.15752,1.49724,1.61787,1.44407
0.153582,1.4638,1.61787,1.42045
0.149743,1.42152,1.47348,1.42045
0.145999,1.42045,1.42045,1.42045
0.142349,1.42152,1.47348,1.42045
0.138791,1.42045,1.42045,1.42045
0.135321,1.42894,1.47348,1.42045
0.131938,1.42552,1.47348,1.42045
0.128639,1.43516,1.43516,1.43516
0.125423,1.43693,1.44251,1.43516
0.122288,1.49873,1.65463,1.44251
0.119231,1.59128,1.70766,1.44987
0.11625,1.4785,1.5029,1.44987
0.113344,1.4679,1.55593,1.44987
0.11051,1.58728,1.66199,1.5029
0.107747,1.48282,1.65463,1.44251
0.105054,1.44957,1.44987,1.44251
0.102427,1.45281,1.45722,1.44987
0.0998665,1.47424,1.51025,1.45722
0.0973699,1.4826,1.5176,1.46457
0.0949356,1.46501,1.47193,1.46457
0.0925622,1.48677,1.52496,1.47193
0.0902482,1.51873,1.63837,1.47193
0.087992,1.58556,1.64572,1.48663
0.0857922,1.53004,1.60004,1.49398
0.0836474,1.5502,1.60004,1.49398
0.0815562,1.6255,1.70611,1.54701
0.0795173,1.67713,1.71346,1.65307
0.0775294,1.57558,1.71346,1.55437
0.0755911,1.64346,1.81952,1.6074
0.0737013,1.68493,1.82687,1.61475
0.0718588,1.75263,1.82687,1.61475
0.0700623,1.67733,1.82687,1.56172
0.0683108,1.68157,1.72081,1.61475
0.066603,1.78869,1.93293,1.72081
0.0649379,1.92127,1.98596,1.8799
0.0633145,1.9712,1.99332,1.8799
0.0617316,1.72399,1.8799,1.61475
0.0601883,1.65505,1.66778,1.61475
0.0586836,1.69267,1.72816,1.66778
0.0572165,1.66135,1.72816,1.6221
0.0557861,1.66559,1.67513,1.6221
0.0543915,1.7621,1.83422,1.6221
0.0530317,1.84801,1.88725,1.78119
0.0517059,1.76847,1.83422,1.67513
0.0504132,1.75826,1.78855,1.72816
