iteration,temp,current_cost,best_cost
100,0.19,1.08202,1
200,0.171475,1.06639,1
300,0.154756,0.933989,0.925164
400,0.139667,0.923267,0.860767
500,0.12605,1.02584,0.860767
600,0.11376,1.03365,0.860767
700,0.102668,0.956541,0.860767
800,0.0926582,1.04248,0.860767
900,0.0836241,1.1206,0.860767
1000,0.0754707,1.22217,0.860767
1100,0.0681123,1.22217,0.860767
1200,0.0614714,1.12162,0.860767
1300,0.0554779,0.94294,0.860767
1400,0.0500688,0.935128,0.860767
1500,0.0451871,1.04551,0.860767
1600,0.0407814,1.05333,0.860767
1700,0.0368052,0.983015,0.860767
1800,0.0332167,0.944965,0.860767
1900,0.0299781,0.961602,0.860767
2000,0.0270552,0.916751,0.860767
2100,0.0244173,0.9344,0.860767
2200,0.0220366,1.01253,0.860767
2300,0.0198881,1.01253,0.860767
2400,0.017949,1.00471,0.860767
2500,0.0161989,0.9969,0.860767
2600,0.0146195,0.982287,0.860767
2700,0.0131941,0.898374,0.860767
2800,0.0119077,0.828062,0.828062
2900,0.0107467,0.828062,0.812437
3000,0.00969891,0.851499,0.812437
3100,0.00875326,0.812437,0.812437
3200,0.00789982,0.804624,0.796812
3300,0.00712959,0.773374,0.773374
3400,0.00643445,0.781187,0.773374
3500,0.00580709,0.781187,0.773374
3600,0.0052409,0.758761,0.758761
