iteration,temp,current_cost,best_cost
100,0.19,1.0217,0.969762
200,0.171475,1.05295,0.969762
300,0.154756,1.15451,0.969762
400,0.139667,1.18677,0.969762
500,0.12605,1.23365,0.969762
600,0.11376,1.34505,0.969762
700,0.102668,1.24348,0.969762
800,0.0926582,1.18965,0.969762
900,0.0836241,1.08923,0.969762
1000,0.0754707,1.08227,0.969762
1100,0.0681123,1.13797,0.969762
1200,0.0614714,1.141,0.969762
1300,0.0554779,1.15764,0.969762
1400,0.0500688,1.14505,0.969762
1500,0.0451871,1.13145,0.969762
1600,0.0407814,1.11785,0.969762
1700,0.0368052,1.21261,0.969762
1800,0.0332167,1.18918,0.969762
1900,0.0299781,1.073,0.969762
2000,0.0270552,0.987064,0.969762
2100,0.0244173,0.940189,0.940189
2200,0.0220366,0.932376,0.924564
2300,0.0198881,0.925576,0.924564
2400,0.017949,0.941201,0.924564
2500,0.0161989,0.949013,0.924564
2600,0.0146195,0.972451,0.924564
2700,0.0131941,0.964638,0.924564
2800,0.0119077,0.957838,0.924564
2900,0.0107467,0.966662,0.924564
3000,0.00969891,0.966662,0.924564
3100,0.00875326,0.89635,0.888537
3200,0.00789982,0.888537,0.888537
3300,0.00712959,0.859312,0.859312
3400,0.00643445,0.812437,0.804624
3500,0.00580709,0.829074,0.804624
3600,0.0052409,0.750949,0.750949
