run,cost,latency,area,time_ms
1,0.711444,371,215,2594.49
2,0.60482,366,150,2580.5
3,0.70711,359,220,2610.91
4,0.755725,353,255,2562.64
5,0.592959,362,145,2554.6
6,0.628985,359,170,2551.95
7,0.772077,346,270,2522.34
8,0.758761,356,255,2535.05
9,0.718971,363,225,2555.37
10,0.750949,356,250,2540.11
