iteration,temp,current_cost,best_cost
100,0.19,1.0334,1
200,0.171475,1.01098,1
300,0.154756,1.03049,1
400,0.139667,1.10963,1
500,0.12605,1.10182,1
600,0.11376,1.07259,1
700,0.102668,1.07259,1
800,0.0926582,1.17516,1
900,0.0836241,1.25329,1
1000,0.0754707,1.18298,1
1100,0.0681123,1.09384,1
1200,0.0614714,1.11149,1
1300,0.0554779,1.04899,1
1400,0.0500688,1.08907,1
1500,0.0451871,1.12813,1
1600,0.0407814,1.11352,1
1700,0.0368052,1.16039,1
1800,0.0332167,1.16821,1
1900,0.0299781,1.16922,1
2000,0.0270552,1.20828,1
2100,0.0244173,1.11554,1
2200,0.0220366,1.10194,1
2300,0.0198881,1.01224,0.996616
2400,0.017949,0.975202,0.966378
2500,0.0161989,0.951765,0.93614
2600,0.0146195,0.99864,0.93614
2700,0.0131941,0.940189,0.916751
2800,0.0119077,0.917763,0.901126
2900,0.0107467,0.917763,0.901126
3000,0.00969891,0.839638,0.824013
3100,0.00875326,0.839638,0.824013
3200,0.00789982,0.760786,0.745161
3300,0.00712959,0.730548,0.730548
3400,0.00643445,0.714923,0.714923
3500,0.00580709,0.70711,0.70711
3600,0.0052409,0.715935,0.70711
