iteration,temp,current_cost,best_cost
100,0.19,1.05279,0.982477
200,0.171475,1.11845,0.970901
300,0.154756,1.13133,0.970901
400,0.139667,1.31101,0.970901
500,0.12605,1.21856,0.970901
600,0.11376,1.2352,0.970901
700,0.102668,1.2841,0.970901
800,0.0926582,1.23245,0.970901
900,0.0836241,1.31057,0.970901
1000,0.0754707,1.16213,0.970901
1100,0.0681123,1.06462,0.970901
1200,0.0614714,1.07344,0.970901
1300,0.0554779,0.996331,0.970901
1400,0.0500688,1.06664,0.970901
1500,0.0451871,1.02584,0.970901
1600,0.0407814,1.05029,0.970901
1700,0.0368052,1.0581,0.970901
1800,0.0332167,1.04551,0.970901
1900,0.0299781,1.17153,0.970901
2000,0.0270552,1.08559,0.970901
2100,0.0244173,1.10121,0.970901
2200,0.0220366,1.10903,0.970901
2300,0.0198881,1.10223,0.970901
2400,0.017949,1.14129,0.970901
2500,0.0161989,1.09441,0.970901
2600,0.0146195,1.07503,0.970901
2700,0.0131941,1.0526,0.970901
2800,0.0119077,0.944237,0.943225
2900,0.0107467,0.877973,0.877973
3000,0.00969891,0.847735,0.847735
3100,0.00875326,0.86336,0.847735
3200,0.00789982,0.857572,0.839923
3300,0.00712959,0.803897,0.796084
3400,0.00643445,0.750221,0.749209
3500,0.00580709,0.743421,0.718971
3600,0.0052409,0.744433,0.718971
