iteration,temp,current_cost,best_cost
100,1,1.70717,1.4877
200,0.95,0.867513,0.867513
300,0.95,0.873396,0.867513
400,0.9025,1.08993,0.867513
500,0.857375,0.93525,0.867513
600,0.857375,0.88369,0.867513
700,0.814506,0.88369,0.867513
800,0.773781,0.88516,0.867513
900,0.773781,0.886631,0.867513
1000,0.735092,0.889572,0.867513
1100,0.698337,0.889572,0.867513
1200,0.698337,1.04866,0.867513
1300,0.66342,0.944073,0.867513
1400,0.630249,0.998574,0.867513
1500,0.630249,1.42723,0.867513
1600,0.598737,1.16355,0.867513
1700,0.5688,1.4832,0.867513
1800,0.5688,0.955838,0.867513
1900,0.54036,0.91016,0.867513
2000,0.513342,0.914572,0.867513
2100,0.513342,0.969073,0.867513
2200,0.487675,1.07807,0.867513
2300,0.463291,0.974955,0.867513
2400,0.463291,0.924866,0.867513
2500,0.440127,0.977897,0.867513
2600,0.41812,0.980838,0.867513
2700,0.41812,1.13993,0.867513
2800,0.397214,0.929278,0.867513
2900,0.377354,1.03681,0.867513
3000,0.377354,1.03681,0.867513
3100,0.358486,1.03681,0.867513
3200,0.340562,0.936631,0.867513
3300,0.340562,0.936631,0.867513
3400,0.323534,1.09572,0.867513
3500,0.307357,1.09719,0.867513
3600,0.307357,1.25775,0.867513
3700,0.291989,1.52291,0.867513
3800,0.27739,1.62897,0.867513
3900,0.27739,1.41684,0.867513
4000,0.26352,1.15316,0.867513
4100,0.250344,1.36529,0.867513
4200,0.250344,1.10013,0.867513
4300,0.237827,0.995544,0.867513
4400,0.225936,0.997014,0.867513
4500,0.225936,1.10602,0.867513
4600,0.214639,1.10749,0.867513
4700,0.203907,1.32108,0.867513
4800,0.203907,1.37558,0.867513
4900,0.193711,1.4787,0.867513
5000,0.184026,1.37411,0.867513
5100,0.184026,1.48311,0.867513
5200,0.174825,1.85432,0.867513
5300,0.166083,1.80423,0.867513
5400,0.166083,2.06939,0.867513
5500,0.157779,1.54055,0.867513
5600,0.14989,1.64955,0.867513
5700,0.14989,1.27834,0.867513
5800,0.142396,1.43596,0.867513
5900,0.135276,1.3299,0.867513
6000,0.135276,1.75414,0.867513
6100,0.128512,1.54349,0.867513
6200,0.122087,1.64955,0.867513
6300,0.122087,1.27687,0.867513
6400,0.115982,1.17081,0.867513
6500,0.110183,1.54202,0.867513
6600,0.110183,1.54349,0.867513
6700,0.104674,1.33137,0.867513
6800,0.0994403,1.17228,0.867513
6900,0.0994403,1.22531,0.867513
7000,0.0944682,1.22678,0.867513
7100,0.0897448,1.12072,0.867513
7200,0.0897448,1.01466,0.867513
7300,0.0852576,0.963102,0.867513
7400,0.0809947,1.01613,0.867513
7500,0.0809947,0.963102,0.867513
7600,0.076945,1.01613,0.867513
7700,0.0730977,1.22972,0.867513
7800,0.0730977,1.07063,0.867513
7900,0.0694428,0.966043,0.867513
8000,0.0659707,0.967513,0.867513
8100,0.0659707,1.02348,0.867513
8200,0.0626722,0.970455,0.867513
8300,0.0595386,0.970455,0.867513
8400,0.0595386,1.02348,0.867513
8500,0.0565616,0.971925,0.867513
8600,0.0537335,1.07799,0.867513
8700,0.0537335,1.29158,0.867513
8800,0.0510469,1.34608,0.867513
