temperature,avg_cost,max_cost,min_cost
1,1.14498,1.80441,0.922014
0.95,1.01476,1.50829,0.871925
0.9025,0.895484,1.08993,0.877807
0.857375,0.889284,1.03984,0.877807
0.814506,0.886127,0.93525,0.882219
0.773781,0.906058,1.36243,0.88369
0.735092,0.97781,1.36979,0.886631
0.698337,1.00814,1.36979,0.895455
0.66342,0.91595,1.05896,0.899866
0.630249,1.00118,1.27402,0.901337
0.598737,0.938432,1.32999,0.902807
0.5688,0.959086,1.17825,0.907219
0.54036,1.17767,1.34029,1.07366
0.513342,1.26878,1.65847,0.967602
0.487675,1.53215,1.92362,1.18119
0.463291,1.47419,1.8205,1.23717
0.440127,1.50014,1.875,1.07955
0.41812,1.10712,1.18561,0.973485
0.397214,1.21515,1.50526,0.973485
0.377354,1.12079,1.40067,0.926337
0.358486,1.03081,1.13993,0.927807
0.340562,1.05094,1.2504,0.929278
0.323534,1.2354,1.51702,0.98525
0.307357,1.04686,1.14581,0.98672
0.291989,1.02732,1.3594,0.936631
0.27739,1.07888,1.36087,0.936631
0.26352,1.20506,1.36234,1.09572
0.250344,1.15752,1.36381,0.941043
0.237827,0.976077,1.15463,0.942513
0.225936,0.994299,1.26511,0.946925
0.214639,1.23464,1.37705,1.05299
0.203907,1.51584,1.6967,1.37705
0.193711,1.42011,1.64808,1.06475
0.184026,1.07748,1.54202,0.95869
0.174825,0.974245,1.06475,0.95869
0.166083,0.960632,1.01319,0.96016
0.157779,0.993746,1.11925,0.96016
0.14989,0.995078,1.17522,0.96016
0.142396,1.04159,1.12219,0.963102
0.135276,1.00729,1.17522,0.963102
0.128512,1.06952,1.28128,0.963102
0.122087,1.02254,1.07063,0.964572
0.115982,0.975216,1.0176,0.964572
0.110183,0.979926,1.02201,0.966043
0.104674,0.990716,1.07504,0.968984
0.0994403,0.970808,1.02348,0.970455
0.0944682,0.988179,1.02496,0.970455
0.0897448,0.977935,1.02496,0.971925
0.0852576,1.07345,1.18699,0.971925
0.0809947,1.08784,1.18552,0.974866
0.076945,0.989531,1.08387,0.977807
0.0730977,0.999908,1.03525,0.979278
0.0694428,0.988596,1.03378,0.979278
0.0659707,0.983752,1.03525,0.980749
0.0626722,0.984935,0.986631,0.982219
0.0595386,1.02451,1.09563,0.986631
0.0565616,1.02195,1.10004,0.989572
0.0537335,0.997967,1.04996,0.995455
0.0510469,1.00505,1.04848,0.995455
