run,cost,latency,area,time_ms
1,0.870455,51,15,416.504
2,0.871925,52,15,294.71
3,0.891043,65,15,309.296
4,0.880749,58,15,366.895
5,0.868984,50,15,386.584
6,0.870455,51,15,353.242
7,0.889572,64,15,300.756
8,0.867513,49,15,304
9,0.870455,51,15,324.91
10,0.921925,86,15,365.417
