temperature,avg_cost,max_cost,min_cost
1,2.16562,2.21707,2.05
0.95,2.19054,2.30081,2.11918
0.9025,2.17424,2.20272,2.11918
0.857375,2.13688,2.20272,2.05688
0.814506,2.12352,2.22355,1.95818
0.773781,1.97985,2.02068,1.95818
0.735092,1.99541,2.04172,1.95838
0.698337,2.11338,2.18755,2.02088
0.66342,2.16672,2.20838,2.12505
0.630249,2.24672,2.31255,2.16672
0.598737,2.36269,2.43775,2.25005
0.5688,2.47959,2.54212,2.35442
0.54036,2.46921,2.47962,2.43796
0.513342,2.44962,2.47962,2.43796
0.487675,2.47796,2.50046,2.43796
0.463291,2.70924,2.81316,2.41712
0.440127,2.80107,2.87566,2.70899
0.41812,2.84316,2.87566,2.79232
0.397214,2.86399,2.89649,2.81316
0.377354,2.73691,2.89649,2.62566
0.358486,2.64466,2.77149,2.5848
0.340562,2.66223,2.79475,2.56559
0.323534,2.56028,2.62809,2.46162
0.307357,2.66916,2.77412,2.44079
0.291989,2.69683,2.77433,2.64933
0.27739,2.62641,2.67016,2.58683
0.26352,2.64141,2.67016,2.60766
0.250344,2.72058,2.73266,2.67016
0.237827,2.50599,2.71183,2.46183
0.225936,2.49892,2.52433,2.46183
0.214639,2.34244,2.48286,2.29536
0.203907,2.26394,2.35786,2.10847
0.193711,2.36102,2.5045,2.10847
0.184026,2.2795,2.33784,2.23367
0.174825,2.23834,2.29617,2.192
0.166083,2.19973,2.23387,2.17137
0.157779,2.17037,2.19241,2.13011
0.14989,2.13024,2.15115,2.02615
0.142396,2.01656,2.02615,2.00531
0.135276,2.0283,2.06781,1.98448
0.128512,2.05645,2.08905,2.00552
0.122087,1.94355,2.08905,1.88173
0.115982,1.84807,1.90277,1.81943
0.110183,1.83083,1.90277,1.77797
0.104674,1.6524,1.7988,1.61191
0.0994403,1.59231,1.63315,1.57065
0.0944682,1.52917,1.55002,1.48752
0.0897448,1.51809,1.57105,1.48752
0.0852576,1.49814,1.52939,1.46689
0.0809947,1.47647,1.50855,1.44605
0.076945,1.44689,1.46689,1.42522
0.0730977,1.48522,1.52939,1.44605
0.0694428,1.61064,1.69605,1.52939
0.0659707,1.65689,1.67522,1.65439
0.0626722,1.6823,1.71689,1.65439
0.0595386,1.71776,1.73772,1.69605
0.0565616,1.71501,1.90459,1.69626
0.0537335,1.99626,2.02959,1.90459
0.0510469,1.94459,2.02959,1.86292
0.0484945,1.88834,1.94626,1.82126
0.0460698,1.85126,1.88376,1.82126
0.0437663,1.76626,1.82126,1.73792
0.041578,1.74042,1.77959,1.65459
0.0394991,1.67876,1.77959,1.57126
0.0375241,1.58834,1.61292,1.55042
0.0356479,1.54932,1.57146,1.48812
0.0338655,1.44812,1.46729,1.42562
0.0321723,1.41979,1.44646,1.40479
0.0305636,1.43652,1.44666,1.40479
0.0290355,1.36458,1.42583,1.34249
0.0275837,1.39004,1.42603,1.34249
0.0262045,1.38478,1.4052,1.38436
0.0248943,1.3777,1.4052,1.3427
0.0236496,1.2877,1.3427,1.25936
0.0224671,1.25936,1.2802,1.23853
0.0213437,1.22936,1.23853,1.2177
0.0202765,1.09344,1.2177,0.968505
0.0192627,1.02779,1.03121,1.01017
0.0182996,1.01165,1.03121,0.989541
0.0173846,0.948494,0.989744,0.927244
0.0165154,0.889327,0.948077,0.84391
0.0156896,0.843077,0.864744,0.78141
0.0149051,0.766507,0.802244,0.719113
0.0141599,0.709946,0.739946,0.677446
0.0134519,0.67764,0.677648,0.677446
0.0127793,0.654424,0.677648,0.573684
0.0121403,0.583268,0.594518,0.573684
0.0115333,0.593684,0.594518,0.573684
0.0109566,0.580768,0.594518,0.573684
0.0104088,0.597434,0.615351,0.594518
0.00988836,0.575525,0.59472,0.573684
0.00939395,0.59472,0.59472,0.59472
0.00892425,0.581933,0.594922,0.574089
0.00847804,0.584089,0.594922,0.574089
0.00805413,0.563672,0.574089,0.553256
0.00765143,0.579089,0.594922,0.574089
0.00726886,0.594089,0.594922,0.574089
0.00690541,0.580926,0.595125,0.532625
0.00656014,0.512625,0.532625,0.511791
0.00623214,0.511791,0.511791,0.511791
0.00592053,0.500541,0.511791,0.470125
0.0056245,0.470125,0.470125,0.470125
0.00534328,0.470125,0.470125,0.470125
0.00507611,0.460125,0.470125,0.449291
