iteration,temp,current_cost,best_cost
100,0.95,2.11837,1.93087
200,0.857375,2.20859,1.89001
300,0.773781,2.31377,1.89001
400,0.698337,2.79293,1.89001
500,0.630249,2.50309,1.89001
600,0.5688,2.4416,1.89001
700,0.513342,2.67117,1.89001
800,0.463291,2.52534,1.89001
900,0.41812,2.817,1.89001
1000,0.377354,2.42117,1.89001
1100,0.340562,2.15094,1.89001
1200,0.307357,2.31781,1.89001
1300,0.27739,2.44281,1.89001
1400,0.250344,2.48448,1.89001
1500,0.225936,2.54698,1.89001
1600,0.203907,2.63031,1.89001
1700,0.184026,2.44281,1.89001
1800,0.166083,2.44281,1.89001
1900,0.14989,2.71365,1.89001
2000,0.135276,2.56781,1.89001
2100,0.122087,2.52615,1.89001
2200,0.110183,2.52615,1.89001
2300,0.0994403,2.33925,1.89001
2400,0.0897448,2.38173,1.89001
2500,0.0809947,2.31923,1.89001
2600,0.0730977,2.15337,1.89001
2700,0.0659707,2.11191,1.89001
2800,0.0595386,2.17441,1.89001
2900,0.0537335,2.00855,1.89001
3000,0.0484945,1.96709,1.89001
3100,0.0437663,1.94626,1.89001
3200,0.0394991,1.90479,1.88376
3300,0.0356479,1.65499,1.65499
3400,0.0321723,1.5927,1.50936
3500,0.0290355,1.3429,1.3429
3600,0.0262045,1.36393,1.32206
3700,0.0236496,1.32247,1.2808
3800,0.0213437,1.3433,1.2808
3900,0.0192627,1.30184,1.23934
4000,0.0173846,1.32267,1.23934
4100,0.0156896,1.30204,1.23934
4200,0.0141599,1.21891,1.21891
4300,0.0127793,1.13558,1.11474
4400,0.0115333,1.11474,1.11474
4500,0.0104088,1.09411,1.07308
4600,0.00939395,1.15661,1.07308
4700,0.00847804,1.05285,1.05265
4800,0.00765143,1.01118,1.01118
4900,0.00690541,0.990351,0.990351
5000,0.00623214,1.01118,0.990351
5100,0.0056245,0.990351,0.969518
5200,0.00507611,0.969518,0.969518
