iteration,temp,current_cost,best_cost
100,0.95,2.03544,1.78524
200,0.857375,2.28544,1.78524
300,0.773781,2.47294,1.78524
400,0.698337,2.41611,1.78524
500,0.630249,2.56235,1.78524
600,0.5688,2.72942,1.78524
700,0.513342,2.50025,1.78524
800,0.463291,2.93775,1.78524
900,0.41812,2.77109,1.78524
1000,0.377354,2.81275,1.78524
1100,0.340562,2.97942,1.78524
1200,0.307357,2.50369,1.78524
1300,0.27739,2.27574,1.78524
1400,0.250344,2.29698,1.78524
1500,0.225936,2.13052,1.78524
1600,0.203907,1.96405,1.78524
1700,0.184026,1.8607,1.71486
1800,0.166083,1.90236,1.71486
1900,0.14989,1.75734,1.71486
2000,0.135276,2.13234,1.674
2100,0.122087,2.48691,1.674
2200,0.110183,2.40378,1.674
2300,0.0994403,2.19545,1.674
2400,0.0897448,1.77878,1.674
2500,0.0809947,1.52898,1.52898
2600,0.0730977,1.80002,1.50815
2700,0.0659707,1.73752,1.50815
2800,0.0595386,1.61292,1.50815
2900,0.0537335,1.50876,1.50815
3000,0.0484945,1.32186,1.30103
3100,0.0437663,1.44686,1.30103
3200,0.0394991,1.2802,1.2802
3300,0.0356479,1.17603,1.1552
3400,0.0321723,1.0927,1.05103
3500,0.0290355,1.05123,1.05103
3600,0.0262045,0.967898,0.967898
3700,0.0236496,0.926231,0.926231
3800,0.0213437,0.905398,0.884565
3900,0.0192627,0.843101,0.842898
4000,0.0173846,0.864541,0.82247
4100,0.0156896,0.78141,0.78141
4200,0.0141599,0.781815,0.760577
4300,0.0127793,0.760982,0.760577
4400,0.0115333,0.781815,0.760577
4500,0.0104088,0.760982,0.760577
4600,0.00939395,0.740351,0.740148
4700,0.00847804,0.657625,0.657422
4800,0.00765143,0.657827,0.636994
4900,0.00690541,0.616363,0.616161
5000,0.00623214,0.553863,0.553863
5100,0.0056245,0.553863,0.553863
5200,0.00507611,0.53303,0.53303
