temperature,avg_cost,max_cost,min_cost
1,2.08436,2.1127,2.05
0.95,2.14062,2.15437,2.1127
0.9025,2.1478,2.2379,2.0502
0.857375,2.19698,2.21727,2.17621
0.814506,2.11985,2.17621,1.97355
0.773781,2.08772,2.09855,2.03605
0.735092,2.0379,2.11938,1.95859
0.698337,2.1267,2.41712,1.97962
0.66342,2.37004,2.41712,2.31296
0.630249,2.4168,2.50046,2.27594
0.598737,2.29393,2.35948,2.27594
0.5688,2.29656,2.35948,2.17198
0.54036,1.91739,2.17198,1.7986
0.513342,2.05693,2.13193,2.02777
0.487675,2.13364,2.19464,2.06943
0.463291,2.0963,2.19464,2.02797
0.440127,1.88922,2.0488,1.84047
0.41812,1.93297,2.0488,1.84047
0.397214,2.08922,2.13214,2.0488
0.377354,2.09589,2.1738,2.02797
0.358486,2.2188,2.25714,2.09047
0.340562,2.1788,2.50714,2.0488
0.323534,2.49839,2.5488,2.38214
0.307357,2.3663,2.40297,2.34047
0.291989,2.30297,2.34047,2.2363
0.27739,2.2013,2.2363,2.15297
0.26352,2.17609,2.19484,2.1115
0.250344,2.09609,2.19484,2.02817
0.237827,2.25525,2.299,2.13234
0.225936,2.10734,2.174,2.049
0.214639,1.97067,2.049,1.84067
0.203907,1.77859,1.8615,1.7365
0.193711,1.87775,1.94484,1.81984
0.184026,1.8765,1.90317,1.84067
0.174825,1.76942,1.8615,1.59067
0.166083,1.84317,1.90317,1.7365
0.157779,1.5815,1.8615,1.4865
0.14989,1.81609,1.90317,1.69484
0.142396,1.9165,2.00734,1.88234
0.135276,2.0257,2.09087,1.9865
0.128512,2.06337,2.09087,2.04921
0.122087,2.05462,2.15337,1.92421
0.115982,1.93129,2.02837,1.82004
0.110183,2.03004,2.07004,2.00754
0.104674,2.07492,2.13274,2.00795
0.0994403,1.99295,2.07045,1.92461
0.0944682,2.06878,2.09128,2.02878
0.0897448,2.17461,2.21628,2.02878
0.0852576,2.2242,2.25795,2.21628
0.0809947,2.04045,2.25795,1.86211
0.076945,1.91378,2.00795,1.86211
0.0730977,1.92847,2.02878,1.84148
0.0694428,1.9401,2.02939,1.86252
0.0659707,1.87705,2.00855,1.84209
0.0626722,1.87596,1.96729,1.82146
0.0595386,1.90729,1.96729,1.86312
0.0565616,1.84056,1.88396,1.69808
0.0537335,1.65167,1.69808,1.61515
0.0510469,1.62182,1.63598,1.61515
0.0484945,1.53567,1.65682,1.47012
0.0460698,1.47471,1.49096,1.47012
0.0437663,1.42971,1.49096,1.40762
0.041578,1.44679,1.47012,1.42846
0.0394991,1.39523,1.44929,1.34533
0.0375241,1.27366,1.30366,1.22033
0.0356479,1.22241,1.24116,1.19949
0.0338655,1.22616,1.26199,1.19949
0.0321723,1.23116,1.26199,1.19949
0.0305636,1.26199,1.26199,1.26199
0.0290355,1.29824,1.32449,1.26199
0.0275837,1.27283,1.28283,1.24116
0.0262045,1.14491,1.24116,1.11616
0.0248943,1.15033,1.17866,1.11616
0.0236496,1.14158,1.19949,1.11616
0.0224671,1.14658,1.15783,1.13699
0.0213437,1.14828,1.15803,1.13699
0.0202765,1.10269,1.22053,1.03323
0.0192627,1.06129,1.11677,1.05407
0.0182996,1.13302,1.17927,1.11677
0.0173846,1.16885,1.17927,1.1376
0.0165154,1.17343,1.2001,1.15843
0.0156896,1.15343,1.17927,1.1376
0.0149051,1.11697,1.1378,1.09614
0.0141599,1.07365,1.09614,1.0128
0.0134519,0.983957,1.01301,0.971542
0.0127793,0.966263,0.971744,0.950911
0.0121403,0.885689,0.951113,0.846947
0.0115333,0.851947,0.86778,0.846947
0.0109566,0.84403,0.86778,0.826113
0.0104088,0.849568,0.867982,0.826113
0.00988836,0.861012,0.868185,0.847352
0.00939395,0.853759,0.889221,0.826721
0.00892425,0.805054,0.826721,0.785054
0.00847804,0.797554,0.805887,0.785054
0.00805413,0.743387,0.785054,0.701721
0.00765143,0.701458,0.722554,0.68109
0.00726886,0.66859,0.68109,0.660256
0.00690541,0.624969,0.660256,0.597959
0.00656014,0.608376,0.618792,0.597959
0.00623214,0.573792,0.597959,0.556292
0.00592053,0.538792,0.556292,0.535459
0.0056245,0.535459,0.535459,0.535459
0.00534328,0.518808,0.535459,0.514626
0.00507611,0.514828,0.514828,0.514828
