run,cost,latency,area,time_ms
1,0.514626,381,105,3935.8
2,0.596744,375,125,3791.9
3,0.449291,367,90,3767
4,0.846339,373,185,3666.63
5,0.534447,376,110,3751.27
6,0.53303,369,110,3706.69
7,0.554875,374,115,3745.12
8,0.71891,361,155,3658.38
9,0.969518,364,215,3683.7
10,0.739744,361,160,3687.11
