temperature,avg_cost,max_cost,min_cost
1,1.9983,2.0502,1.92601
0.95,2.02131,2.05121,1.98892
0.9025,2.19558,2.21808,2.15558
0.857375,2.33392,2.36392,2.15558
0.814506,2.42017,2.61392,2.34308
0.773781,2.62892,2.65558,2.57225
0.735092,2.57655,2.63495,2.55142
0.698337,2.65037,2.69745,2.61412
0.66342,2.49854,2.63495,2.43067
0.630249,2.35033,2.43087,2.20798
0.598737,2.31977,2.37485,2.24965
0.5688,2.36495,2.41672,2.31235
0.54036,2.56991,2.79172,2.40074
0.513342,2.42376,2.46344,2.40074
0.487675,2.51011,2.67178,2.33844
0.463291,2.60274,2.60948,2.58844
0.440127,2.60031,2.63031,2.56781
0.41812,2.63656,2.75531,2.54698
0.397214,2.73615,2.75531,2.69281
0.377354,2.77323,2.83865,2.67198
0.358486,2.49865,2.67198,2.38031
0.340562,2.40961,2.42218,2.31802
0.323534,2.45595,2.69322,2.29718
0.307357,2.66322,2.69322,2.56822
0.291989,2.60614,2.65155,2.54739
0.27739,2.62489,2.65155,2.58905
0.26352,2.61489,2.65155,2.56822
0.250344,2.55905,2.56822,2.54739
0.237827,2.61822,2.73489,2.52655
0.225936,3.09364,3.19322,2.73489
0.214639,3.19155,3.23489,3.15155
0.203907,3.17114,3.19322,3.10989
0.193711,3.13322,3.21405,2.98489
0.184026,3.10489,3.27655,3.02655
0.174825,3.3028,3.35989,3.27655
0.166083,3.24713,3.36009,2.90175
0.157779,2.77634,2.90175,2.73509
0.14989,2.59634,2.75592,2.54759
0.142396,2.51425,2.58925,2.48509
0.135276,2.27384,2.50592,2.13092
0.128512,2.02384,2.15175,1.98509
0.122087,2.02009,2.04759,1.98509
0.115982,2.11592,2.19342,2.04759
0.110183,2.16271,2.21425,2.15175
0.104674,2.12737,2.15196,2.11029
0.0994403,2.12042,2.13133,2.11029
0.0944682,2.12799,2.17299,2.04799
0.0897448,2.03216,2.06883,1.98549
0.0852576,1.93424,1.96466,1.88133
0.0809947,1.91966,1.94383,1.88133
0.076945,1.94022,1.96486,1.88133
0.0730977,1.96486,1.9857,1.94403
0.0694428,1.96653,1.9857,1.94403
0.0659707,1.90778,1.9857,1.8607
0.0626722,1.79903,1.8607,1.7357
0.0595386,1.74289,1.75673,1.7357
0.0565616,1.81381,1.84006,1.75673
0.0537335,1.7594,1.84006,1.71527
0.0510469,1.77068,1.7986,1.7361
0.0484945,1.79568,1.8611,1.69443
0.0460698,1.81235,1.81943,1.7986
0.0437663,1.81485,1.81943,1.7986
0.041578,1.8361,1.88193,1.7986
0.0394991,1.90485,1.9236,1.8611
0.0375241,1.85693,1.94443,1.77777
0.0356479,1.91777,1.94443,1.88193
0.0338655,1.80235,1.88193,1.75693
0.0321723,1.73818,1.77777,1.6736
0.0305636,1.65152,1.69443,1.50693
0.0290355,1.54985,1.59027,1.50693
0.0275837,1.53943,1.5486,1.52777
0.0262045,1.49193,1.52777,1.3611
0.0248943,1.34161,1.3615,1.34027
0.0236496,1.26296,1.3615,1.13376
0.0224671,1.17835,1.19626,1.15459
0.0213437,1.15104,1.17603,1.11353
0.0202765,1.12336,1.13477,1.11373
0.0192627,1.11727,1.13477,1.05143
0.0182996,1.0741,1.0933,1.05164
0.0173846,1.10414,1.11414,1.0933
0.0165154,1.11848,1.13517,1.0933
0.0156896,1.09892,1.13517,1.07267
0.0149051,0.918166,1.09351,0.886184
0.0141599,0.891217,0.907018,0.886184
0.0134519,0.845193,0.886387,0.803053
0.0127793,0.844089,0.844922,0.824089
0.0121403,0.847839,0.865756,0.844922
0.0115333,0.887006,0.907422,0.865756
0.0109566,0.898256,0.907422,0.886589
0.0104088,0.882471,0.886791,0.865958
0.00988836,0.831169,0.886791,0.824291
0.00939395,0.804478,0.824696,0.804065
0.00892425,0.78282,0.804065,0.741565
0.00847804,0.712549,0.721542,0.700304
0.00805413,0.735709,0.742375,0.721542
0.00765143,0.723209,0.742375,0.700709
0.00726886,0.744875,0.763209,0.742375
0.00690541,0.715709,0.742375,0.700709
0.00656014,0.700709,0.700709,0.700709
0.00623214,0.681542,0.700709,0.659042
0.00592053,0.659042,0.659042,0.659042
0.0056245,0.658625,0.659042,0.638209
0.00534328,0.603625,0.638209,0.596542
0.00507611,0.563625,0.596542,0.554875
