iteration,temp,current_cost,best_cost
100,0.95,1.94685,1.86351
200,0.857375,2.48871,1.86351
300,0.773781,2.01016,1.86351
400,0.698337,2.48952,1.86351
500,0.630249,2.2822,1.86351
600,0.5688,2.82427,1.86351
700,0.513342,2.53322,1.86351
800,0.463291,2.49175,1.86351
900,0.41812,2.49236,1.86351
1000,0.377354,2.22557,1.86351
1100,0.340562,2.14305,1.86351
1200,0.307357,2.05992,1.86351
1300,0.27739,2.04313,1.8346
1400,0.250344,1.93897,1.81397
1500,0.225936,2.06437,1.81397
1600,0.203907,2.29394,1.81397
1700,0.184026,2.12728,1.81397
1800,0.166083,1.75248,1.75248
1900,0.14989,1.81538,1.71081
2000,0.135276,1.83622,1.71081
2100,0.122087,1.91955,1.71081
2200,0.110183,1.71142,1.71081
2300,0.0994403,1.83642,1.60725
2400,0.0897448,1.5664,1.5664
2500,0.0809947,1.58763,1.54597
2600,0.0730977,1.5045,1.5043
2700,0.0659707,1.50876,1.40439
2800,0.0595386,1.32126,1.27959
2900,0.0537335,1.27959,1.27959
3000,0.0484945,1.32146,1.27959
3100,0.0437663,1.21729,1.15479
3200,0.0394991,1.11353,1.11353
3300,0.0356479,1.32206,1.11353
3400,0.0321723,1.25956,1.11353
3500,0.0290355,0.988934,0.988934
3600,0.0262045,0.906005,0.905803
3700,0.0236496,0.760172,0.739339
3800,0.0213437,0.677041,0.635172
3900,0.0192627,0.739541,0.635172
4000,0.0173846,0.739946,0.635172
4100,0.0156896,0.760779,0.635172
4200,0.0141599,0.698482,0.635172
4300,0.0127793,0.656815,0.635172
4400,0.0115333,0.65722,0.635172
4500,0.0104088,0.616161,0.616161
4600,0.00939395,0.574899,0.574899
4700,0.00847804,0.596339,0.574899
4800,0.00765143,0.575709,0.554875
4900,0.00690541,0.554875,0.554875
5000,0.00623214,0.55528,0.554875
5100,0.0056245,0.534447,0.534447
5200,0.00507611,0.534447,0.534447
