temperature,avg_cost,max_cost,min_cost
1,1.82829,2.05,1.46747
0.995,1.51474,1.58868,1.46747
0.990025,1.13472,1.16738,1.04617
0.985075,1.26822,1.41127,1.04617
0.98015,1.25736,1.41275,1.17032
0.975249,1.06983,1.2324,0.989973
0.970373,1.22057,1.35361,1.11119
0.965521,1.08599,1.11266,1.05205
0.960693,1.10528,1.1762,1.05205
0.95589,1.26445,1.30036,1.05499
0.95111,1.21066,1.42157,1.05793
0.946355,1.4543,1.48217,1.36096
0.941623,1.35324,1.48217,1.30036
0.936915,1.51758,1.72607,1.18061
0.93223,1.20754,1.54572,1.06087
0.927569,1.38572,1.48512,1.3033
0.922931,1.51178,1.72754,1.42451
0.918316,1.7239,1.78815,1.60633
0.913725,1.5833,1.72754,1.48512
0.909156,1.52008,1.6078,1.36684
0.90461,1.35766,1.491,1.30918
0.900087,1.80647,2.15914,1.43039
0.895587,1.95792,2.09853,1.85611
0.891109,1.47671,2.09853,1.12883
0.886654,1.15792,1.25004,1.12883
0.88222,1.03831,1.19091,1.00762
0.877809,1.19455,1.25152,1.19091
0.87342,1.15507,1.25152,1.0697
0.869053,1.18694,1.25446,1.13177
0.864708,1.17446,1.25446,1.07264
0.860384,1.12961,1.19385,1.01203
0.856082,1.2084,1.25446,1.07264
0.851802,1.13196,1.13913,1.07264
0.847543,1.17253,1.2012,1.13913
0.843305,1.32848,1.50423,1.2012
0.839089,1.45672,1.56778,1.32389
0.834893,1.33957,1.56925,1.14501
0.830719,1.41046,1.56925,1.26622
0.826565,1.27278,1.33124,1.08587
0.822432,1.25366,1.45245,1.14942
0.81832,1.1921,1.33271,1.02968
0.814229,1.16062,1.69635,1.09029
0.810157,1.60771,1.69635,1.57513
0.806107,1.23423,1.63721,1.09029
0.802076,1.20301,1.33271,1.09029
0.798066,1.07406,1.15089,1.02821
0.794075,1.08397,1.27063,1.02821
0.790105,1.40275,1.57366,1.27063
0.786154,1.50215,1.63427,1.39184
0.782224,1.57488,1.69488,1.39184
0.778313,1.84518,2.17972,1.51306
0.774421,2.19912,2.60397,1.9373
0.770549,2.15548,2.54336,1.99791
0.766696,2.03619,2.4857,1.81756
0.762863,2.39357,2.5463,2.36448
0.759048,2.26509,2.36448,2.18266
0.755253,1.85782,2.24327,1.69782
0.751477,1.87115,1.94024,1.75842
0.747719,1.82994,2.00085,1.75842
0.743981,2.09054,2.24327,1.87963
0.740261,2.30509,2.42509,2.24327
0.73656,2.48602,2.78725,2.30241
0.732877,2.7121,2.90847,2.60544
0.729212,2.73029,2.84786,2.66604
0.725566,2.65513,2.78725,2.54483
0.721939,2.98847,3.33271,2.78725
0.718329,3.26119,3.33271,3.2115
0.714737,3.35332,3.57513,3.2721
