iteration,temp,current_cost,best_cost
100,0.995,1.58574,1.10089
200,0.985075,1.28565,1.04323
300,0.975249,1.40833,1.04323
400,0.965521,1.41127,1.04323
500,0.95589,1.2324,1.04323
600,0.946355,1.53543,1.04323
700,0.936915,1.35802,1.04323
800,0.927569,1.11707,1.04323
900,0.918316,1.48217,1.04323
1000,0.909156,1.0594,1.04323
1100,0.900087,1.00027,1.00027
1200,0.891109,1.00174,1.00027
1300,0.88222,1.00321,1.00027
1400,0.87342,1.12883,1.00027
1500,0.864708,1.79844,1.00027
1600,0.856082,1.6787,1.00027
1700,0.847543,1.74225,1.00027
1800,0.839089,1.86346,1.00027
1900,0.830719,2.2877,1.00027
2000,0.822432,2.16649,1.00027
2100,0.814229,2.46952,1.00027
2200,0.806107,2.16796,1.00027
2300,0.798066,2.59367,1.00027
2400,0.790105,2.8967,1.00027
2500,0.782224,3.07852,1.00027
2600,0.774421,3.07852,1.00027
2700,0.766696,2.59367,1.00027
2800,0.759048,2.47393,1.00027
2900,0.751477,2.77696,1.00027
3000,0.743981,2.77696,1.00027
3100,0.73656,2.4148,1.00027
3200,0.729212,2.4148,1.00027
3300,0.721939,2.35272,1.00027
3400,0.714737,2.77843,1.00027
3500,0.707608,2.59661,1.00027
3600,0.700549,2.23298,1.00027
3700,0.693561,2.7193,1.00027
3800,0.686643,2.96172,1.00027
3900,0.679794,3.26622,1.00027
4000,0.673013,3.08587,1.00027
4100,0.6663,2.90847,1.00027
4200,0.659653,2.91141,1.00027
4300,0.653073,2.42656,1.00027
4400,0.646559,2.48717,1.00027
4500,0.640109,3.21444,1.00027
4600,0.633724,2.91141,1.00027
4700,0.627403,2.79167,1.00027
4800,0.621145,3.0947,1.00027
4900,0.614949,2.97201,1.00027
5000,0.608815,2.72959,1.00027
5100,0.602742,2.60838,1.00027
5200,0.596729,2.60838,1.00027
5300,0.590777,3.87963,1.00027
5400,0.584884,3.57807,1.00027
5500,0.57905,2.97496,1.00027
5600,0.573274,3.46127,1.00027
5700,0.567555,2.92023,1.00027
5800,0.561894,3.10205,1.00027
5900,0.556289,2.73694,1.00027
6000,0.55074,2.85963,1.00027
6100,0.545246,3.34447,1.00027
6200,0.539808,3.16266,1.00027
6300,0.534423,3.40508,1.00027
6400,0.529092,2.92023,1.00027
6500,0.523814,2.43685,1.00027
6600,0.518589,2.92023,1.00027
6700,0.513416,2.49599,1.00027
6800,0.508295,3.04144,1.00027
6900,0.503225,2.61426,1.00027
7000,0.498205,2.37184,1.00027
7100,0.493236,3.2824,1.00027
7200,0.488316,3.28387,1.00027
7300,0.483445,3.16266,1.00027
7400,0.478622,3.04144,1.00027
7500,0.473848,2.92023,1.00027
7600,0.469121,3.16707,1.00027
7700,0.464442,2.98672,1.00027
7800,0.459809,2.92906,1.00027
7900,0.455222,2.56542,1.00027
8000,0.450682,2.99113,1.00027
8100,0.446186,2.32447,1.00027
8200,0.441735,2.32594,1.00027
8300,0.437329,1.541,1.00027
8400,0.432967,2.20619,1.00027
8500,0.428648,2.02585,1.00027
8600,0.424372,1.78342,1.00027
8700,0.420139,1.84403,1.00027
8800,0.415948,1.66221,1.00027
8900,0.411799,1.96524,1.00027
9000,0.407691,1.66368,1.00027
9100,0.403625,2.02732,1.00027
9200,0.399598,1.54247,1.00027
9300,0.395612,1.72282,1.00027
9400,0.391666,1.48039,1.00027
9500,0.387759,1.41979,1.00027
9600,0.383891,1.90611,1.00027
9700,0.380062,1.66662,1.00027
9800,0.376271,1.97112,1.00027
9900,0.372518,1.60896,1.00027
10000,0.368802,1.85138,1.00027
10100,0.365123,1.97259,1.00027
10200,0.361481,2.03614,1.00027
10300,0.357875,2.33917,1.00027
10400,0.354305,2.46038,1.00027
10500,0.350771,2.6422,1.00027
10600,0.347272,2.52099,1.00027
10700,0.343808,2.82402,1.00027
10800,0.340379,3.06791,1.00027
10900,0.336983,2.8861,1.00027
11000,0.333622,3.18913,1.00027
11100,0.330294,3.37094,1.00027
11200,0.326999,2.70575,1.00027
11300,0.323738,3.00878,1.00027
11400,0.320508,3.19207,1.00027
11500,0.317311,3.25267,1.00027
11600,0.314146,2.58601,1.00027
11700,0.311012,2.88757,1.00027
11800,0.30791,2.76783,1.00027
11900,0.304839,2.88904,1.00027
12000,0.301798,2.28445,1.00027
12100,0.298788,2.22384,1.00027
12200,0.295807,2.58601,1.00027
12300,0.292856,1.91934,1.00027
12400,0.289935,2.10263,1.00027
12500,0.287043,1.7996,1.00027
12600,0.28418,2.1041,1.00027
12700,0.281345,2.28739,1.00027
12800,0.278539,2.29033,1.00027
12900,0.27576,2.41154,1.00027
13000,0.27301,2.77665,1.00027
13100,0.270286,2.11145,1.00027
13200,0.26759,2.11439,1.00027
13300,0.264921,2.24002,1.00027
13400,0.262278,2.24002,1.00027
13500,0.259662,2.24002,1.00027
13600,0.257072,2.24002,1.00027
13700,0.254508,2.30209,1.00027
13800,0.251969,2.24149,1.00027
13900,0.249456,2.48538,1.00027
14000,0.246967,2.3627,1.00027
14100,0.244504,1.87785,1.00027
14200,0.242065,2.24149,1.00027
14300,0.23965,2.12175,1.00027
14400,0.23726,2.06114,1.00027
14500,0.234893,1.6369,1.00027
14600,0.23255,1.81872,1.00027
14700,0.23023,1.57923,1.00027
14800,0.227934,1.63984,1.00027
14900,0.22566,1.94287,1.00027
15000,0.223409,1.76252,1.00027
15100,0.221181,2.00495,1.00027
15200,0.218974,1.70045,1.00027
15300,0.21679,1.82166,1.00027
15400,0.214628,1.94287,1.00027
15500,0.212487,1.94434,1.00027
15600,0.210367,2.06408,1.00027
15700,0.208269,2.06408,1.00027
15800,0.206191,2.00495,1.00027
15900,0.204135,1.5201,1.00027
16000,0.202098,1.70192,1.00027
16100,0.200082,1.39889,1.00027
16200,0.198087,1.51863,1.00027
16300,0.196111,1.39742,1.00027
16400,0.194154,1.34122,1.00027
16500,0.192218,1.58512,1.00027
16600,0.1903,1.28209,1.00027
16700,0.188402,1.64425,1.00027
16800,0.186523,1.34269,1.00027
16900,0.184662,1.58659,1.00027
17000,0.18282,1.88962,1.00027
17100,0.180997,1.34416,1.00027
17200,0.179191,1.22442,1.00027
17300,0.177404,1.22442,1.00027
17400,0.175634,1.64866,1.00027
17500,0.173882,2.0123,1.00027
17600,0.172148,1.7078,1.00027
17700,0.170431,1.7078,1.00027
17800,0.168731,1.7078,1.00027
17900,0.167047,1.7078,1.00027
18000,0.165381,1.52598,1.00027
18100,0.163731,1.95022,1.00027
18200,0.162098,1.52598,1.00027
18300,0.160481,1.64572,1.00027
18400,0.158881,1.70633,1.00027
18500,0.157296,1.76693,1.00027
18600,0.155727,1.64572,1.00027
18700,0.154173,1.40183,1.00027
18800,0.152635,1.3471,1.00027
18900,0.151113,1.46979,1.00027
19000,0.149606,1.46979,1.00027
19100,0.148113,1.41212,1.00027
