temperature,avg_cost,max_cost,min_cost
1,1.48703,2.11208,1.33302
0.995,1.30339,1.39804,1.21181
0.990025,1.11289,1.22357,1.04617
0.985075,0.99098,1.04911,0.988503
0.98015,0.989973,0.989973,0.989973
0.975249,1.09182,1.35361,0.989973
0.970373,1.12418,1.29594,0.991444
0.965521,1.16363,1.53984,0.994385
0.960693,1.05646,1.05646,1.05646
0.95589,1.19819,1.36096,1.05646
0.95111,1.78278,1.90642,1.36096
0.946355,1.74884,1.96702,1.42157
0.941623,1.43839,1.48365,1.36243
0.936915,1.5588,1.78668,1.42304
0.93223,1.5679,1.60633,1.54425
0.927569,1.84943,2.03057,1.60633
0.922931,1.79644,1.85169,1.73048
0.918316,1.71715,1.79109,1.54866
0.913725,1.64684,1.79109,1.54866
0.909156,1.78642,1.85169,1.73048
0.90461,2.04198,2.27888,1.61074
0.900087,2.06554,2.27888,1.73342
0.895587,2.09084,2.58338,1.85463
0.891109,2.29732,2.58338,1.97732
0.886654,1.98607,2.15914,1.7955
0.88222,1.81273,1.91818,1.73636
0.877809,2.01399,2.46511,1.85758
0.87342,2.33662,2.46511,1.98026
0.869053,2.22632,2.52571,2.10147
0.864708,2.44329,2.70753,2.28329
0.860384,3.07723,3.19238,2.70753
0.856082,2.8949,3.01203,2.76961
0.851802,2.84824,3.01203,2.58926
0.847543,2.50562,2.58926,2.34684
0.843305,2.51532,2.58926,2.40744
0.839089,2.2935,2.52865,2.16502
0.834893,2.31724,2.40891,2.16649
0.830719,2.30588,2.59073,2.10588
0.826565,2.29255,2.40891,2.16649
0.822432,2.17861,2.2877,2.16649
0.81832,2.11073,2.22709,1.98467
0.814229,2.11132,2.2877,2.04528
0.810157,2.17523,2.5316,2.04675
0.806107,2.55584,2.65281,2.47099
0.802076,2.43705,2.5922,1.98614
0.798066,2.08675,2.34978,1.98614
0.794075,2.3316,2.5922,1.98614
0.790105,2.2722,2.71341,1.98614
0.786154,2.6322,2.83463,2.5316
0.782224,2.70735,2.77402,2.65281
0.778313,2.31814,2.71341,2.10882
0.774421,2.11488,2.23004,1.98761
0.770549,1.96248,2.04969,1.8664
0.766696,2.27608,2.35419,2.04969
0.762863,2.3954,2.4148,2.35419
0.759048,2.51074,2.65575,2.41332
0.755253,2.54609,2.59514,2.4754
0.751477,2.78182,3.0238,2.4754
0.747719,3.13895,3.26622,3.0238
0.743981,3.54016,3.75107,3.32683
0.740261,3.71455,3.93436,3.3889
0.73656,3.2072,3.3889,3.02674
0.732877,2.77947,2.96613,2.6025
0.729212,2.55401,2.6631,2.48128
0.725566,2.39688,2.60397,2.05851
0.721939,2.58942,2.60397,2.54336
0.718329,2.79912,2.907,2.60397
0.714737,2.37972,2.66457,2.11912
0.711164,2.16881,2.36154,2.05851
0.707608,2.12698,2.36154,1.93877
0.70407,1.89392,1.93877,1.81756
0.700549,1.74997,1.93877,1.63721
0.697047,1.69637,1.69782,1.63721
0.693561,1.70483,1.81756,1.51453
0.690094,1.97998,2.48422,1.57513
0.686643,2.45019,2.5463,2.36301
0.68321,2.33176,2.42509,2.18266
0.679794,2.54024,2.66751,2.36448
0.676395,2.58656,2.72959,2.48717
0.673013,2.76545,2.85227,2.54777
0.669648,2.67773,2.97348,2.24621
0.6663,2.1153,2.30682,2.00379
0.662968,1.88864,2.06439,1.82197
0.659653,1.95261,2.00526,1.88258
0.656355,2.02223,2.12647,1.94465
0.653073,2.10994,2.18855,2.00526
0.649808,2.10006,2.18855,2.06734
0.646559,2.09037,2.18855,1.88552
0.643326,2.08782,2.31123,1.88699
0.640109,2.64214,2.91729,2.31123
0.636909,2.78759,2.91729,2.61426
0.633724,2.40456,2.61426,2.25062
0.630556,2.44335,2.55365,2.31123
0.627403,2.49491,2.55512,2.43244
0.624266,2.63149,2.73694,2.55512
0.621145,2.39391,2.61573,2.19149
0.618039,2.56725,2.79755,2.37331
0.614949,2.62134,2.79902,2.43391
0.611874,2.33478,2.92023,1.88993
0.608815,1.83781,1.88993,1.76872
0.60577,1.78084,1.88993,1.70811
0.602742,1.56629,1.76872,1.34447
0.599728,1.58326,1.70811,1.34447
0.596729,1.89114,2.25357,1.70811
0.593746,2.0475,2.25357,1.76872
0.590777,2.1675,2.43538,2.07175
0.587823,2.20266,2.31417,2.07175
0.584884,2.01963,2.07175,1.95053
0.581959,1.87417,2.07175,1.34447
0.57905,1.4366,1.52629,1.34447
0.576154,1.31296,1.40508,1.16266
0.573274,1.35003,1.46716,1.28387
0.570407,1.45019,1.8914,1.34594
0.567555,2.00776,2.13382,1.8914
0.564717,1.61884,2.13529,1.40802
0.561894,1.28439,1.40802,1.2262
0.559084,1.69893,1.89287,1.34742
0.556289,1.81166,1.83226,1.77166
0.553508,1.88317,2.1959,1.65045
0.55074,2.09166,2.55954,1.83226
0.547986,2.40095,2.74135,2.31711
0.545246,2.49909,2.56248,2.31858
0.54252,2.60611,2.68369,2.56248
0.539808,2.61945,2.7443,2.50187
0.537108,2.70066,2.7443,2.56248
0.534423,2.40611,2.50187,2.25945
0.531751,2.34793,2.56248,2.01702
0.529092,1.99761,2.13676,1.89434
0.526447,1.86161,2.01555,1.83373
0.523814,2.34283,2.5004,1.95495
0.521195,1.94404,2.01555,1.83373
0.518589,1.79858,1.95495,1.59131
0.515996,1.67737,1.77313,1.59131
0.513416,1.52707,2.01555,1.40949
0.510849,2.24101,2.37919,2.13676
0.508295,2.30525,2.4398,2.25798
