run,cost,latency,area,time_ms
1,0.995856,59,75,2168.96
2,0.989973,55,75,2040.84
3,1.02527,79,75,1927.09
4,0.989973,55,75,1887.74
5,0.98262,50,75,2017.6
6,0.998797,61,75,2593.23
7,0.987032,53,75,2181.58
8,0.988503,54,75,2137.97
9,1.00027,62,75,2486.25
10,1.04617,52,80,2400.85
