temperature,avg_cost,max_cost,min_cost
1,1.56935,2.05,1.45129
0.995,1.65433,1.81493,1.5725
0.990025,1.5662,1.63605,1.45717
0.985075,1.40853,1.46747,1.28418
0.98015,1.21833,1.34773,1.10383
0.975249,1.29805,1.53102,1.04617
0.970373,1.18031,1.293,1.04617
0.965521,1.61058,2.08088,1.293
0.960693,2.00146,2.14296,1.78079
0.95589,1.73473,1.96261,1.65958
0.95111,2.19037,2.75196,1.90201
0.946355,2.54608,2.75196,2.50954
0.941623,2.20455,2.57161,1.72313
0.936915,1.93066,2.08824,1.84581
0.93223,1.97308,2.02763,1.90642
0.927569,1.75011,1.96702,1.66399
0.922931,1.61213,1.90789,1.36243
0.918316,1.53118,1.72754,1.42304
0.913725,1.5592,1.72754,1.30624
0.909156,1.50898,1.61221,1.36832
0.90461,1.66167,1.85463,1.61074
0.900087,1.57585,1.85463,1.30918
0.895587,1.57797,1.7955,1.37126
0.891109,1.41028,1.61368,1.19091
0.886654,1.24879,1.31359,1.19091
0.88222,1.47602,1.73783,1.31359
0.877809,1.81905,2.22268,1.67723
0.87342,1.92077,2.28329,1.43627
0.869053,1.49688,1.61809,1.43627
0.864708,1.6884,1.7393,1.61809
0.860384,1.93688,2.40597,1.7393
0.856082,2.44961,2.709,2.22415
0.851802,2.78205,3.01497,2.52718
0.847543,3.02467,3.07558,2.89376
0.843305,2.78588,2.95437,2.53012
0.839089,2.7374,2.89376,2.65134
0.834893,2.1039,2.65134,1.62103
0.830719,2.03025,2.41185,1.74372
0.826565,2.10193,2.29064,1.98761
0.822432,2.22908,2.35272,2.11029
0.81832,2.06302,2.29211,1.86787
0.814229,1.99904,2.05116,1.92995
0.810157,2.35783,2.59661,1.99055
0.806107,2.04873,2.53601,1.99055
0.802076,1.94697,2.11324,1.8102
0.798066,1.72293,1.93142,1.44657
0.794075,1.63075,1.69046,1.44657
0.790105,1.72683,1.81168,1.56925
0.786154,1.67189,1.81315,1.62986
0.782224,1.94769,2.05557,1.75254
0.778313,2.00224,2.17678,1.93436
0.774421,2.29823,2.48128,2.11618
0.770549,2.51522,2.54189,2.42068
0.766696,2.46068,2.6631,2.36007
0.762863,2.16444,2.42068,2.05851
0.759048,1.93903,2.12206,1.69782
0.755253,1.8457,2.00085,1.69782
0.751477,1.77609,2.00085,1.75842
0.747719,1.64162,2.00526,1.33859
0.743981,1.49094,1.76136,1.33859
0.740261,1.80216,1.88258,1.63868
0.73656,2.039,2.18561,1.8205
0.732877,2.11409,2.24621,1.88258
0.729212,1.85348,2.00379,1.70076
0.725566,1.65833,1.88258,1.57955
0.721939,1.88985,2.06439,1.64015
0.718329,1.75834,2.06439,1.64015
