temperature,avg_cost,max_cost,min_cost
1,1.49032,2.05,1.28271
0.995,1.2147,1.34332,0.987032
0.990025,1.19584,1.23093,1.16885
0.985075,1.31941,1.47335,1.04911
0.98015,1.00053,1.05058,0.988503
0.975249,0.997034,1.05205,0.989973
0.970373,1.05296,1.05352,1.05205
0.965521,1.11498,1.29742,0.994385
0.960693,1.12529,1.54131,0.994385
0.95589,1.2525,1.6078,1.11707
0.95111,1.37169,1.48806,1.18503
0.946355,1.55658,1.67135,1.30624
0.941623,1.66165,2.09559,1.61074
0.936915,1.92589,2.03498,1.79256
0.93223,2.06529,2.15619,1.97438
0.927569,2.10011,2.27741,2.03498
0.922931,2.31811,2.40156,2.09706
0.918316,2.45974,2.58338,2.21974
0.913725,2.32035,2.40156,2.09853
0.909156,2.26338,2.58338,2.03792
0.90461,2.62095,2.70459,2.52277
0.900087,2.66823,2.8258,2.58338
0.895587,2.4906,2.64693,2.21974
0.891109,2.57056,3.01056,2.22268
0.886654,2.17541,2.28329,2.04086
0.88222,1.90026,2.10147,1.79844
0.877809,2.00935,2.34389,1.61662
0.87342,1.60521,1.6787,1.4348
0.869053,1.67861,1.86052,1.55749
0.864708,1.89951,1.92259,1.79844
0.860384,2.00561,2.04528,1.92259
0.856082,2.04119,2.22857,1.86346
0.851802,2.15693,2.29064,2.10882
0.847543,2.12337,2.16943,1.98761
0.843305,2.22761,2.47246,2.10882
0.839089,2.1673,2.47246,1.80579
0.834893,1.72286,1.92701,1.62545
0.830719,1.85654,1.93142,1.74666
0.826565,2.01683,2.11324,1.87081
0.822432,1.84873,2.17237,1.56631
0.81832,1.9651,2.17237,1.74813
0.814229,1.98086,2.17237,1.80873
0.810157,1.84995,1.99055,1.74813
0.806107,1.89843,2.11176,1.68752
0.802076,2.04617,2.23151,1.80873
0.798066,2.21997,2.29505,2.1709
0.794075,2.37384,2.59808,2.05263
0.790105,1.88399,2.05263,1.62986
0.786154,1.93652,1.99349,1.81168
0.782224,2.08683,2.23592,1.93289
0.778313,1.80537,2.11471,1.51012
0.774421,1.85193,1.99496,1.75254
0.770549,1.91248,1.99643,1.75401
0.766696,2.03037,2.29947,1.75401
0.762863,2.3225,2.42068,2.23886
0.759048,2.09656,2.42068,1.99643
0.755253,2.07311,2.18119,1.9373
0.751477,1.92455,2.18119,1.57513
0.747719,1.66241,1.75695,1.57513
0.743981,1.58504,1.75548,1.57366
0.740261,1.68231,1.87669,1.57513
0.73656,1.69029,1.75695,1.63574
0.732877,1.86119,1.99938,1.69635
0.729212,1.86574,1.87963,1.81756
0.725566,1.80085,2.12206,1.63721
0.721939,1.94571,2.12206,1.45686
0.718329,1.63747,1.69929,1.51747
0.714737,1.97686,2.36595,1.45686
0.711164,2.08111,2.36595,1.75989
0.707608,2.15262,2.24474,2.00232
0.70407,1.9502,2.12353,1.8205
0.700549,2.14535,2.48717,1.88111
0.697047,2.11747,2.48717,1.8205
0.693561,1.77323,2.00232,1.57807
0.690094,1.51765,1.57807,1.39626
0.686643,1.58076,1.70076,1.51894
0.68321,1.55167,1.64015,1.45833
0.679794,1.53747,1.64162,1.39773
0.676395,1.78586,2.18708,1.64162
0.673013,2.02465,2.18708,1.88405
0.669648,1.81377,1.88552,1.7037
0.6663,1.76365,1.88699,1.7037
0.662968,1.87365,1.94759,1.82638
0.659653,1.63608,1.94759,1.40214
0.656355,1.61003,1.70517,1.52335
0.653073,1.543,1.64603,1.46422
0.649808,1.55997,1.88846,1.40361
0.646559,1.89573,2.00967,1.82785
0.643326,1.82664,1.88846,1.76725
0.640109,1.69816,1.76725,1.52482
0.636909,1.38179,1.52482,1.2824
0.633724,1.3527,1.40361,1.343
0.630556,1.27391,1.46422,1.16119
0.627403,1.20361,1.40361,1.03997
0.624266,1.21816,1.343,1.03997
0.621145,1.10179,1.16119,1.03997
0.618039,1.11997,1.2824,1.03997
0.614949,1.14664,1.2824,1.03997
0.611874,1.22422,1.2824,1.03997
0.608815,1.13209,1.343,1.03997
0.60577,1.09331,1.16119,1.03997
0.602742,1.43276,1.5869,1.10058
0.599728,1.65357,2.13235,1.34447
0.596729,1.79219,1.95053,1.76872
0.593746,1.64413,2.01261,1.28534
0.590777,1.34934,1.40802,1.34594
0.587823,1.35348,1.40802,1.34742
0.584884,1.51711,1.58984,1.40802
0.581959,1.37689,1.53217,1.28681
0.57905,1.66187,1.7746,1.53217
0.576154,1.52005,1.71399,1.41096
0.573274,1.62308,1.71399,1.53217
0.570407,1.72753,1.7746,1.47304
0.567555,1.8088,2.01849,1.47304
0.564717,2.05637,2.26092,1.83668
0.561894,2.07425,2.26092,1.53365
0.559084,1.54455,1.65486,1.35183
0.556289,1.76395,1.89728,1.65486
0.553508,1.69749,1.95789,1.41096
0.55074,1.39157,1.41096,1.35036
0.547986,1.46086,1.47451,1.41096
0.545246,1.46724,1.53512,1.3533
0.54252,1.54094,1.71693,1.47304
0.539808,1.56189,1.6578,1.53659
0.537108,1.63113,1.83962,1.53659
0.534423,1.69537,1.90022,1.47598
0.531751,1.67137,1.84109,1.53659
0.529092,1.53442,1.71988,1.41684
0.526447,1.25849,1.41684,1.17736
0.523814,1.61615,1.78342,1.35918
0.521195,1.5907,1.6016,1.541
0.518589,1.64282,1.72282,1.541
0.515996,1.70221,2.20766,1.41979
0.513416,2.25615,2.5713,2.14706
0.510849,2.16938,2.5713,1.78489
0.508295,1.86247,1.96671,1.72429
0.505754,1.81398,1.8455,1.78489
