temperature,avg_cost,max_cost,min_cost
1,1.5247,2.05294,1.33743
0.995,1.33377,1.58574,1.10089
0.990025,1.58978,1.64929,1.16444
0.985075,1.16929,1.34626,1.04323
0.98015,1.64107,2.01439,1.28565
0.975249,1.59379,2.01439,1.34773
0.970373,1.48712,1.59015,1.34773
0.965521,1.37132,1.52955,1.22652
0.960693,1.27954,1.41127,1.16885
0.95589,1.18282,1.293,1.11119
0.95111,1.65906,2.08088,1.2324
0.946355,1.83119,2.20209,1.53543
0.941623,1.45553,1.59898,1.35655
0.936915,1.34436,1.41863,1.23534
0.93223,1.36792,1.41863,1.29889
0.927569,1.5898,1.96555,1.11707
0.922931,1.11101,1.17767,1.05646
0.918316,1.22672,1.48217,1.05646
0.913725,1.42278,1.54278,1.30036
0.909156,1.15047,1.30036,1.0594
0.90461,1.06079,1.12148,1.00027
0.900087,1.01602,1.12148,1.00027
0.895587,1.02238,1.18209,1.00027
0.891109,1.00416,1.06234,1.00174
0.886654,1.00174,1.00174,1.00174
0.88222,1.04206,1.18356,1.00174
0.877809,1.03162,1.12589,1.00321
0.87342,1.22392,1.61074,1.12589
0.869053,1.58639,1.73636,1.12883
0.864708,1.69571,1.85905,1.55455
0.860384,1.55471,1.79991,1.13324
0.856082,1.36355,1.6787,1.25446
0.851802,1.61088,1.7393,1.49688
0.847543,1.85155,2.2877,1.61956
0.843305,1.66588,1.80285,1.49982
0.839089,1.68285,1.86346,1.56043
0.834893,1.95437,2.10588,1.86346
0.830719,2.20043,2.2877,2.10588
0.826565,2.15316,2.2877,2.10588
0.822432,2.12285,2.16649,1.98467
0.81832,2.15895,2.34684,2.10441
0.814229,2.34261,2.46952,2.16502
0.810157,2.34103,2.53012,2.04528
0.806107,2.09949,2.16796,2.04528
0.802076,2.24311,2.34978,2.10735
0.798066,2.35849,2.59367,2.16796
0.794075,3.10761,3.56337,2.59367
0.790105,3.13428,3.26034,2.8967
0.786154,2.72701,2.8967,2.47246
0.782224,2.60458,3.07852,2.23004
0.778313,2.94034,3.19973,2.35125
0.774421,2.61064,3.07852,2.35125
0.770549,2.94761,3.07852,2.77549
0.766696,2.67125,2.8361,2.59367
0.762863,2.55588,2.59514,2.53307
0.759048,2.60363,2.65575,2.47393
0.755253,2.43393,2.53454,2.29211
0.751477,2.58787,2.83757,2.29211
0.747719,2.93454,3.07999,2.77696
0.743981,2.94787,3.1406,2.71635
0.740261,2.67396,2.83757,2.65575
0.73656,2.57237,2.65722,2.4148
0.732877,2.28631,2.4754,1.86934
0.729212,2.40995,2.89964,1.86934
0.725566,2.43395,2.4754,2.41332
0.721939,2.30545,2.41332,2.1709
0.718329,2.42653,2.59661,2.29211
0.714737,3.02934,3.14207,2.77843
0.711164,2.8657,3.02086,2.77843
0.707608,2.78086,2.83904,2.59661
0.70407,2.53964,2.65722,2.4148
0.700549,2.40267,2.4754,2.23298
0.697047,2.40494,2.90111,2.23298
0.693561,2.49869,2.7193,2.29505
0.690094,2.70475,2.84051,2.65869
0.686643,2.9399,3.08293,2.84051
0.68321,3.2102,3.26475,2.96172
0.679794,3.17644,3.32683,2.90258
0.676395,3.33049,3.44804,3.26622
0.673013,3.29315,3.3889,3.08587
0.669648,2.95452,3.08587,2.90406
0.6663,2.8837,2.96907,2.78578
0.662968,2.89146,3.03115,2.84786
0.659653,2.96575,3.03262,2.91141
0.656355,2.77323,2.97201,2.48717
0.653073,2.47868,2.54777,2.36595
0.649808,2.75141,2.91141,2.60838
0.646559,2.57323,2.72959,2.48717
0.643326,2.54535,2.8508,2.42656
0.640109,2.98171,3.21444,2.8508
0.636909,3.01201,3.27504,2.60838
0.633724,2.74292,2.91141,2.54777
0.630556,2.98431,3.09323,2.91141
0.627403,2.8544,2.97201,2.79167
0.624266,2.88379,2.97348,2.73106
0.621145,2.85833,3.0947,2.67045
0.618039,3.14197,3.33712,2.97348
0.614949,3.37423,3.51894,2.97201
