run,cost,latency,area,time_ms
1,0.995856,59,75,2200.81
2,0.989973,55,75,2067.43
3,1.02527,79,75,1927.31
4,0.989973,55,75,1893.51
5,0.98262,50,75,2037.73
6,0.998797,61,75,2583.65
7,0.987032,53,75,2199.5
8,0.988503,54,75,2140.88
9,1.00027,62,75,2267.86
10,1.04617,52,80,1946.94
